sample_id,environment,country,year,study,timepoint,treatment,read_count
SRR13853495,wastewater,China: Harbin,NA,PRJNA706165,NA,NA,564K
SRR25475464,wastewater,Italy:Trento,NA,PRJNA1000295,NA,NA,3M
SRR25475465,wastewater,Italy:Trento,NA,PRJNA1000295,NA,NA,5M
SRR25475469,wastewater,Italy:Trento,NA,PRJNA1000295,NA,NA,4M
SRR25475470,wastewater,Italy:Trento,NA,PRJNA1000295,NA,NA,4M
SRR28740378,wastewater,"Russia: Zvenigorod, Moscow region",NA,PRJNA1101684,NA,NA,175K
SRR30403267,wastewater,Ireland: Cork,NA,PRJNA1149575,NA,NA,21K
SRR30403268,wastewater,France: Fleury,NA,PRJNA1149575,NA,NA,170K
SRR30403276,wastewater,France: Oissery,NA,PRJNA1149575,NA,NA,323K
SRR30403277,wastewater,France: Oissery,NA,PRJNA1149575,NA,NA,211K
SRR30403281,wastewater,Portugal: Faro,NA,PRJNA1149575,NA,NA,126K
SRR30403282,wastewater,Portugal: Faro,NA,PRJNA1149575,NA,NA,90K
SRR30403286,wastewater,Portugal: Faro,NA,PRJNA1149575,NA,NA,133K
SRR30403288,wastewater,Portugal: Faro,NA,PRJNA1149575,NA,NA,158K
SRR30403289,wastewater,United Kingdom: Dungannon,NA,PRJNA1149575,NA,NA,78K
SRR30403290,wastewater,Netherlands: Gelderland,NA,PRJNA1149575,NA,NA,182K
SRR30403291,wastewater,Netherlands: Gelderland,NA,PRJNA1149575,NA,NA,159K
SRR30403292,wastewater,Netherlands: Gelderland,NA,PRJNA1149575,NA,NA,22K
SRR30403293,wastewater,Netherlands: Gelderland,NA,PRJNA1149575,NA,NA,125K
SRR30403294,wastewater,Netherlands: Gelderland,NA,PRJNA1149575,NA,NA,86K
SRR30403296,wastewater,Netherlands: Gelderland,NA,PRJNA1149575,NA,NA,98K
SRR30403297,wastewater,Netherlands: Gelderland,NA,PRJNA1149575,NA,NA,66K
SRR30403301,wastewater,United Kingdom: Inverurie,NA,PRJNA1149575,NA,NA,60K
SRR30403306,wastewater,United Kingdom: Manchester,NA,PRJNA1149575,NA,NA,44K
SRR30403308,wastewater,United Kingdom: Manchester,NA,PRJNA1149575,NA,NA,56K
SRR30403310,wastewater,United Kingdom: Manchester,NA,PRJNA1149575,NA,NA,108K
SRR30403316,wastewater,Ireland: Clonakilty,NA,PRJNA1149575,NA,NA,130K
SRR30403318,wastewater,Ireland: Clonakilty,NA,PRJNA1149575,NA,NA,157K
SRR30403326,wastewater,United Kingdom: Swindon,NA,PRJNA1149575,NA,NA,121K
SRR30403333,wastewater,United Kingdom: Dungannon,NA,PRJNA1149575,NA,NA,89K
SRR30403334,wastewater,Netherlands: Utrecht,NA,PRJNA1149575,NA,NA,131K
SRR30403336,wastewater,Netherlands: Utrecht,NA,PRJNA1149575,NA,NA,26K
SRR30403337,wastewater,Netherlands: Utrecht,NA,PRJNA1149575,NA,NA,123K
SRR30403339,wastewater,Netherlands: Utrecht,NA,PRJNA1149575,NA,NA,60K
SRR30403341,wastewater,United Kingdom: WestMidlands,NA,PRJNA1149575,NA,NA,95K
SRR30403342,wastewater,United Kingdom: WestMidlands,NA,PRJNA1149575,NA,NA,83K
SRR30403343,wastewater,United Kingdom: WestMidlands,NA,PRJNA1149575,NA,NA,119K
SRR30403347,wastewater,United Kingdom: WestMidlands,NA,PRJNA1149575,NA,NA,69K
SRR30403348,wastewater,United Kingdom: WestMidlands,NA,PRJNA1149575,NA,NA,100K
SRR30403349,wastewater,Ireland: Cork,NA,PRJNA1149575,NA,NA,135K
SRR10489816,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,48M
SRR10489818,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,57M
SRR10489821,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,49M
SRR10489826,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,49M
SRR10489829,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,44M
SRR10489838,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,48M
SRR10489839,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,45M
SRR10598225,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,151K
SRR10598234,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,57K
SRR10598235,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,52K
SRR10598236,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,68K
SRR10598244,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,64K
SRR10598245,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,63K
SRR10598247,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,63K
SRR10598252,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,48K
SRR10598257,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,48K
SRR10598258,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,45K
SRR10598261,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,58K
SRR10598269,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,65K
SRR10598270,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,49K
SRR10598272,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,44K
SRR10598275,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,43K
SRR10598278,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,50K
SRR10598280,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,67K
SRR10598286,soil,Svalbard:Ny-Alesund,NA,PRJNA433658,NA,NA,59K
SRR11811727,river,USA: Chesapeake Bay,NA,PRJNA599167,NA,NA,839K
SRR11811728,river,USA: Chesapeake Bay,NA,PRJNA599167,NA,NA,652K
SRR11811733,river,USA: Chesapeake Bay,NA,PRJNA599167,NA,NA,716K
SRR11811738,river,USA: Chesapeake Bay,NA,PRJNA599167,NA,NA,660K
SRR3473427,river,China: Guangzhou,NA,PRJNA320164,NA,NA,81K
SRR639749,river,NA,NA,PRJNA184698,NA,NA,2K
SRR639750,river,NA,NA,PRJNA184698,NA,NA,17M
SRR639751,river,NA,NA,PRJNA184698,NA,NA,2K
SRR639752,river,NA,NA,PRJNA184698,NA,NA,27M
SRR639753,river,NA,NA,PRJNA184698,NA,NA,30M
SRR643889,river,NA,NA,PRJNA184698,NA,NA,8M
SRR643891,river,NA,NA,PRJNA184698,NA,NA,25M
SRR7299214,river,Jamaica: Riverton City dump,NA,PRJNA475763,NA,NA,8M
SRR11336302,river,"Brazil: Minas Gerais State, Iguatama Municipality",NA,PRJNA611749,NA,NA,37K
SRR11336310,river,"Brazil: Minas Gerais State, Iguatama Municipality",NA,PRJNA611749,NA,NA,28K
SRR11336334,river,"Brazil: Minas Gerais State, Iguatama Municipality",NA,PRJNA611749,NA,NA,40K
SRR11840535,river,USA: Chesapeake Bay,NA,PRJNA599167,NA,NA,272K
SRR11840541,river,USA: Chesapeake Bay,NA,PRJNA599167,NA,NA,130K
SRR11840542,river,USA: Chesapeake Bay,NA,PRJNA599167,NA,NA,140K
SRR11840546,river,USA: Chesapeake Bay,NA,PRJNA599167,NA,NA,249K
SRR13938450,irrigation,Germany,NA,PRJNA713765,NA,NA,275K
SRR35899498,irrigation,USA: California,NA,PRJNA1343021,NA,NA,43M
SRR35899523,irrigation,USA: California,NA,PRJNA1341951,NA,NA,43M
SRR35899551,irrigation,USA: California,NA,PRJNA1342024,NA,NA,47M
SRR35899560,irrigation,USA: California,NA,PRJNA1342696,NA,NA,59M
SRR35899562,irrigation,USA: California,NA,PRJNA1342026,NA,NA,59M
