sample_id,aminocoumarin antibiotic,aminoglycoside antibiotic,carbapenem,cephalosporin,diaminopyrimidine antibiotic,disinfecting agents and antiseptics,elfamycin antibiotic,fluoroquinolone antibiotic,fusidane antibiotic,glycopeptide antibiotic,glycylcycline,isoniazid-like antibiotic,lincosamide antibiotic,macrolide antibiotic,monobactam,mupirocin-like antibiotic,nitrofuran antibiotic,nitroimidazole antibiotic,nucleoside antibiotic,penicillin beta-lactam,peptide antibiotic,phenicol antibiotic,phosphonic acid antibiotic,pleuromutilin antibiotic,rifamycin antibiotic,sulfonamide antibiotic,sulfone antibiotic,tetracycline antibiotic,thioamide antibiotic
SRR10489816,8.33333333e-08,5.00000000e-07,8.33333333e-07,3.08333333e-06,4.08333333e-06,2.16666667e-06,1.58333333e-06,8.00000000e-06,9.16666667e-07,0.00000000e+00,1.25000000e-06,5.00000000e-07,0.00000000e+00,6.66666667e-07,3.33333333e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.08333333e-06,1.16666667e-06,5.83333333e-06,8.33333333e-07,2.50000000e-07,2.91666667e-06,0.00000000e+00,0.00000000e+00,2.16666667e-06,0.00000000e+00
SRR10489821,1.66666667e-07,2.50000000e-07,7.50000000e-07,1.04166667e-05,1.05000000e-05,6.25000000e-06,6.83333333e-06,2.18333333e-05,4.25000000e-06,8.33333333e-08,4.00000000e-06,1.83333333e-06,5.83333333e-07,1.33333333e-06,5.00000000e-07,2.50000000e-07,1.66666667e-07,5.00000000e-07,5.83333333e-07,1.04166667e-05,7.66666667e-06,1.47500000e-05,2.83333333e-06,7.50000000e-07,6.66666667e-06,8.33333333e-08,0.00000000e+00,4.83333333e-06,8.33333333e-08
SRR10489829,8.46900826e-08,5.92830578e-07,7.62210743e-07,4.23450413e-06,4.91202479e-06,3.55698347e-06,2.79477272e-06,1.02475000e-05,1.18566116e-06,0.00000000e+00,2.11725206e-06,9.31590908e-07,1.69380165e-07,8.46900826e-07,1.69380165e-07,8.46900826e-08,0.00000000e+00,8.46900826e-08,1.69380165e-07,4.23450413e-06,1.60911157e-06,7.62210743e-06,7.62210743e-07,2.54070248e-07,3.64167355e-06,0.00000000e+00,0.00000000e+00,4.31919421e-06,0.00000000e+00
SRR10489838,0.00000000e+00,8.33333333e-08,7.50000000e-07,2.66666667e-06,2.33333333e-06,2.00000000e-06,1.83333333e-06,6.08333333e-06,1.08333333e-06,0.00000000e+00,1.25000000e-06,6.66666667e-07,0.00000000e+00,1.66666667e-07,6.66666667e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.66666667e-06,8.33333333e-07,3.66666667e-06,5.83333333e-07,0.00000000e+00,2.75000000e-06,0.00000000e+00,0.00000000e+00,1.50000000e-06,0.00000000e+00
SRR10489839,1.66666667e-07,7.50000000e-07,1.16666667e-06,7.83333333e-06,7.33333333e-06,6.91666667e-06,3.50000000e-06,1.47500000e-05,1.91666667e-06,0.00000000e+00,3.33333333e-06,2.50000000e-06,1.66666667e-07,1.50000000e-06,4.16666667e-07,8.33333333e-08,0.00000000e+00,0.00000000e+00,1.66666667e-07,7.83333333e-06,3.58333333e-06,1.14166667e-05,2.16666667e-06,5.83333333e-07,5.16666667e-06,0.00000000e+00,8.33333333e-08,4.91666667e-06,1.66666667e-07
SRR25475464,3.12182939e-07,1.56091470e-07,4.68274409e-07,2.80964645e-06,1.71700617e-06,1.56091470e-06,2.02918910e-06,5.77538438e-06,9.36548818e-07,0.00000000e+00,6.24365878e-07,9.36548818e-07,0.00000000e+00,6.24365878e-07,3.12182939e-07,1.56091470e-07,0.00000000e+00,1.56091470e-07,0.00000000e+00,2.80964645e-06,2.96573792e-06,2.49746351e-06,1.09264029e-06,0.00000000e+00,1.40482323e-06,0.00000000e+00,0.00000000e+00,9.36548818e-07,0.00000000e+00
SRR25475465,2.29822451e-07,1.14911225e-07,1.14911225e-06,1.55130154e-05,6.77976229e-06,8.15869700e-06,8.04378577e-06,2.58550257e-05,6.66485107e-06,1.14911225e-07,6.32011739e-06,2.06840206e-06,1.14911225e-07,1.49384593e-06,1.03420103e-06,2.29822451e-07,0.00000000e+00,4.59644901e-07,1.14911225e-07,1.55130154e-05,1.05718327e-05,1.32147909e-05,5.28591637e-06,6.89467352e-07,1.03420103e-05,1.14911225e-07,0.00000000e+00,7.46922965e-06,1.14911225e-07
SRR25475469,1.30625996e-07,2.61251993e-07,1.43688596e-06,1.18869657e-05,4.44128388e-06,6.92317781e-06,6.00879583e-06,1.63282495e-05,2.87377192e-06,1.30625996e-07,4.70253587e-06,2.09001594e-06,0.00000000e+00,1.30625996e-06,1.17563397e-06,3.91877989e-07,0.00000000e+00,3.91877989e-07,0.00000000e+00,1.18869657e-05,6.92317781e-06,9.40507174e-06,3.52690190e-06,3.91877989e-07,7.57630779e-06,0.00000000e+00,1.30625996e-07,5.22503985e-06,0.00000000e+00
SRR25475470,2.31109780e-07,4.62219560e-07,1.84887824e-06,1.74487884e-05,6.70218362e-06,8.89772653e-06,9.93772054e-06,2.79642834e-05,8.20439719e-06,1.15554890e-07,6.35551895e-06,2.07998802e-06,0.00000000e+00,2.65776247e-06,1.38665868e-06,2.31109780e-07,0.00000000e+00,5.77774450e-07,0.00000000e+00,1.74487884e-05,1.13243792e-05,1.35199221e-05,6.00885428e-06,6.93329340e-07,1.01688303e-05,0.00000000e+00,0.00000000e+00,8.08884230e-06,1.15554890e-07
SRR35899498,3.33333333e-07,6.66666667e-07,1.33333333e-06,6.25000000e-06,4.41666667e-06,5.33333333e-06,5.41666667e-06,1.18333333e-05,1.66666667e-06,0.00000000e+00,2.08333333e-06,2.58333333e-06,8.33333333e-08,1.50000000e-06,6.66666667e-07,0.00000000e+00,0.00000000e+00,2.50000000e-07,8.33333333e-08,6.25000000e-06,7.33333333e-06,7.16666667e-06,3.58333333e-06,1.66666667e-07,4.41666667e-06,0.00000000e+00,8.33333333e-08,3.00000000e-06,1.66666667e-07
SRR35899523,1.66666667e-07,8.33333333e-08,7.50000000e-07,3.33333333e-06,2.41666667e-06,1.83333333e-06,2.83333333e-06,6.41666667e-06,1.33333333e-06,0.00000000e+00,1.41666667e-06,2.50000000e-07,0.00000000e+00,7.50000000e-07,6.66666667e-07,0.00000000e+00,0.00000000e+00,8.33333333e-08,0.00000000e+00,3.33333333e-06,2.08333333e-06,3.91666667e-06,1.16666667e-06,1.66666667e-07,3.08333333e-06,0.00000000e+00,0.00000000e+00,1.50000000e-06,8.33333333e-08
SRR35899599,0.00000000e+00,0.00000000e+00,8.33333333e-08,1.41666667e-06,1.00000000e-06,6.66666667e-07,2.08333333e-06,3.75000000e-06,1.58333333e-06,0.00000000e+00,5.00000000e-07,1.66666667e-07,0.00000000e+00,8.33333333e-08,8.33333333e-08,8.33333333e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.41666667e-06,9.16666667e-07,1.50000000e-06,4.16666667e-07,8.33333333e-08,2.08333333e-06,0.00000000e+00,0.00000000e+00,5.83333333e-07,0.00000000e+00
SRR35899609,4.16666667e-07,2.50000000e-07,5.83333333e-07,5.66666667e-06,2.66666667e-06,4.00000000e-06,3.75000000e-06,9.33333333e-06,1.41666667e-06,8.33333333e-08,2.08333333e-06,1.66666667e-06,8.33333333e-08,5.00000000e-07,3.33333333e-07,0.00000000e+00,8.33333333e-08,5.00000000e-07,8.33333333e-08,5.66666667e-06,5.58333333e-06,5.00000000e-06,3.00000000e-06,2.50000000e-07,3.83333333e-06,0.00000000e+00,8.33333333e-08,2.83333333e-06,0.00000000e+00
SRR35899647,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.25000000e-06,1.25000000e-06,7.50000000e-07,1.66666667e-06,3.58333333e-06,4.16666667e-07,0.00000000e+00,6.66666667e-07,0.00000000e+00,0.00000000e+00,2.50000000e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.33333333e-08,0.00000000e+00,1.25000000e-06,6.66666667e-07,1.91666667e-06,7.50000000e-07,0.00000000e+00,1.66666667e-06,0.00000000e+00,1.66666667e-07,6.66666667e-07,0.00000000e+00
SRR639750,1.66666667e-07,3.33333333e-07,2.50000000e-06,6.33333333e-06,5.16666667e-06,5.50000000e-06,1.16666667e-06,1.15000000e-05,6.66666667e-07,0.00000000e+00,5.00000000e-06,3.33333333e-07,0.00000000e+00,6.66666667e-07,2.16666667e-06,0.00000000e+00,0.00000000e+00,3.33333333e-07,0.00000000e+00,6.33333333e-06,2.16666667e-06,1.05000000e-05,8.33333333e-07,3.33333333e-07,5.16666667e-06,0.00000000e+00,0.00000000e+00,5.66666667e-06,0.00000000e+00
SRR639752,0.00000000e+00,8.33333333e-07,4.00000000e-06,1.11666667e-05,7.83333333e-06,1.05000000e-05,2.66666667e-06,2.03333333e-05,1.83333333e-06,0.00000000e+00,8.83333333e-06,1.33333333e-06,3.33333333e-07,1.50000000e-06,3.16666667e-06,0.00000000e+00,0.00000000e+00,1.00000000e-06,3.33333333e-07,1.11666667e-05,5.16666667e-06,1.75000000e-05,2.33333333e-06,6.66666667e-07,9.50000000e-06,0.00000000e+00,0.00000000e+00,9.83333333e-06,0.00000000e+00
SRR643889,0.00000000e+00,1.66666667e-07,5.00000000e-07,1.50000000e-06,0.00000000e+00,1.00000000e-06,3.33333333e-07,1.50000000e-06,6.66666667e-07,0.00000000e+00,6.66666667e-07,0.00000000e+00,0.00000000e+00,3.33333333e-07,3.33333333e-07,0.00000000e+00,0.00000000e+00,1.66666667e-07,0.00000000e+00,1.50000000e-06,6.66666667e-07,8.33333333e-07,5.00000000e-07,0.00000000e+00,1.16666667e-06,0.00000000e+00,0.00000000e+00,8.33333333e-07,0.00000000e+00
SRR643891,0.00000000e+00,0.00000000e+00,2.66666667e-06,4.33333333e-06,1.50000000e-06,4.33333333e-06,0.00000000e+00,5.83333333e-06,0.00000000e+00,0.00000000e+00,4.33333333e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.66666667e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.33333333e-06,0.00000000e+00,5.83333333e-06,0.00000000e+00,0.00000000e+00,4.33333333e-06,0.00000000e+00,0.00000000e+00,4.50000000e-06,0.00000000e+00
SRR7299214,1.66666667e-06,7.50000000e-07,7.75000000e-06,4.37500000e-05,5.91666667e-06,2.38333333e-05,2.68333333e-05,6.89166667e-05,1.59166667e-05,1.16666667e-06,2.05000000e-05,3.08333333e-06,8.33333333e-08,4.83333333e-06,7.00000000e-06,3.33333333e-07,9.16666667e-07,3.75000000e-06,8.33333333e-08,4.37500000e-05,1.76666667e-05,2.71666667e-05,1.22500000e-05,5.16666667e-06,3.16666667e-05,8.33333333e-08,8.33333333e-08,2.31666667e-05,1.66666667e-07
