pipeline,environment,mean,std,size
pipelineA,irrigation,-2.5994444824437246,0.12881203552991288,15
pipelineA,river,-2.5295420626645293,0.05724873286753526,12
pipelineA,soil,-3.307626251386328,0.10545875615049628,7
pipelineA,wastewater,-2.035962563070749,0.10747244438459602,7
pipelineB,irrigation,-2.3265230804966324,0.12112153238326429,15
pipelineB,river,-2.121314788731073,0.08980238974315878,12
pipelineB,soil,-2.612676841153706,0.09713727684577056,7
pipelineB,wastewater,-1.9488011631373712,0.10756978553658939,7
pipelineC,irrigation,-2.7403262030123097,0.2219729588688001,15
pipelineC,river,-2.791399234250948,0.19867100796734247,12
pipelineC,soil,-3.295572781979805,0.21386697778495162,7
pipelineC,wastewater,-2.3948141057055943,0.19416498717373978,7
