sample_id,environment,pipeline,ARG_total,ARG_richness
SRR10489816,soil,pipelineA,4.16666667e-07,2
SRR10489821,soil,pipelineA,3.33333333e-07,3
SRR10489829,soil,pipelineA,6.77520661e-07,4
SRR10489838,soil,pipelineA,0.00000000e+00,0
SRR10489839,soil,pipelineA,5.00000000e-07,2
SRR25475464,wastewater,pipelineA,1.56091470e-07,1
SRR25475465,wastewater,pipelineA,1.26402348e-06,10
SRR25475469,wastewater,pipelineA,3.91877989e-07,3
SRR25475470,wastewater,pipelineA,1.73332335e-06,14
SRR35899498,irrigation,pipelineA,3.33333333e-07,3
SRR35899523,irrigation,pipelineA,8.33333333e-08,1
SRR35899599,irrigation,pipelineA,1.66666667e-07,2
SRR35899609,irrigation,pipelineA,2.50000000e-07,3
SRR35899647,irrigation,pipelineA,0.00000000e+00,0
SRR639750,river,pipelineA,5.16666667e-06,12
SRR639752,river,pipelineA,5.83333333e-06,14
SRR643889,river,pipelineA,0.00000000e+00,0
SRR643891,river,pipelineA,7.83333333e-06,23
SRR7299214,river,pipelineA,4.41666667e-06,15
SRR10489816,soil,pipelineB,1.08333333e-06,3
SRR10489821,soil,pipelineB,3.33333333e-07,1
SRR10489829,soil,pipelineB,3.38760330e-07,2
SRR10489838,soil,pipelineB,8.33333333e-07,3
SRR10489839,soil,pipelineB,1.16666667e-06,4
SRR25475464,wastewater,pipelineB,8.74112230e-06,11
SRR25475465,wastewater,pipelineB,3.43584564e-05,30
SRR25475469,wastewater,pipelineB,1.13644617e-05,15
SRR25475470,wastewater,pipelineB,3.25864790e-05,27
SRR35899498,irrigation,pipelineB,1.58333333e-06,4
SRR35899523,irrigation,pipelineB,1.58333333e-06,6
SRR35899599,irrigation,pipelineB,2.66666667e-06,8
SRR35899609,irrigation,pipelineB,2.66666667e-06,7
SRR35899647,irrigation,pipelineB,2.00000000e-06,7
SRR639750,river,pipelineB,5.21000000e-04,45
SRR639752,river,pipelineB,2.77333333e-04,28
SRR643889,river,pipelineB,9.81666667e-05,43
SRR643891,river,pipelineB,5.12000000e-04,55
SRR7299214,river,pipelineB,4.89166667e-05,26
SRR10489816,soil,pipelineC,4.02500000e-05,20
SRR10489821,soil,pipelineC,1.19166667e-04,28
SRR10489829,soil,pipelineC,5.53873140e-05,24
SRR10489838,soil,pipelineC,3.15833333e-05,18
SRR10489839,soil,pipelineC,8.84166667e-05,25
SRR25475464,wastewater,pipelineC,3.02817451e-05,21
SRR25475465,wastewater,pipelineC,1.47775836e-04,27
SRR25475469,wastewater,pipelineC,1.05545805e-04,24
SRR25475470,wastewater,pipelineC,1.62470175e-04,24
SRR35899498,irrigation,pipelineC,7.66666667e-05,25
SRR35899523,irrigation,pipelineC,3.76666667e-05,22
SRR35899599,irrigation,pipelineC,1.85000000e-05,19
SRR35899609,irrigation,pipelineC,5.97500000e-05,26
SRR35899647,irrigation,pipelineC,1.70000000e-05,16
SRR639750,river,pipelineC,7.28333333e-05,21
SRR639752,river,pipelineC,1.31833333e-04,22
SRR643889,river,pipelineC,1.26666667e-05,17
SRR643891,river,pipelineC,4.46666667e-05,11
SRR7299214,river,pipelineC,3.98250000e-04,29
