sample_id,environment,country,year,study,timepoint,treatment,read_count,collection_date,first_public,last_updated,sample_alias,sample_title,location,country_ena,study_accession,sample_accession,biosample_accession,biosample_collection_date,sra_release_date,temporal_source
SRR13853495,wastewater,China: Harbin,NA,PRJNA706165,NA,NA,564000,2018-11-20,,,,,,,,,SAMN18121158,2018-11-20,2021-12-31 02:48:19,biosample_collection_date
SRR25475464,wastewater,Italy:Trento,NA,PRJNA1000295,NA,NA,3000000,2018-03,,,,,,,,,SAMN36767414,2018-03,2023-08-01 16:54:34,biosample_collection_date
SRR25475465,wastewater,Italy:Trento,NA,PRJNA1000295,NA,NA,5000000,2018-03,,,,,,,,,SAMN36767413,2018-03,2023-08-01 16:54:34,biosample_collection_date
SRR25475469,wastewater,Italy:Trento,NA,PRJNA1000295,NA,NA,4000000,2018-03,,,,,,,,,SAMN36767409,2018-03,2023-08-01 16:54:34,biosample_collection_date
SRR25475470,wastewater,Italy:Trento,NA,PRJNA1000295,NA,NA,4000000,2018-03,,,,,,,,,SAMN36767408,2018-03,2023-08-01 16:54:34,biosample_collection_date
SRR30403276,wastewater,France: Oissery,NA,PRJNA1149575,NA,NA,323000,2023-05-23,,,,,,,,,SAMN43253838,2023-05-23,2024-08-26 23:25:16,biosample_collection_date
SRR30403277,wastewater,France: Oissery,NA,PRJNA1149575,NA,NA,211000,2023-05-23,,,,,,,,,SAMN43253837,2023-05-23,2024-08-26 23:25:16,biosample_collection_date
SRR10489816,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,48000000,2014-07-30,,,,,,,,,SAMN13241871,2014-07-30,2020-12-08 00:00:30,biosample_collection_date
SRR10489818,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,57000000,2014-07-30,,,,,,,,,SAMN13241871,2014-07-30,2020-12-08 00:00:30,biosample_collection_date
SRR10489821,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,49000000,2014-07-30,,,,,,,,,SAMN13241871,2014-07-30,2020-12-08 00:00:31,biosample_collection_date
SRR10489826,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,49000000,2014-07-30,,,,,,,,,SAMN13241871,2014-07-30,2020-12-08 00:00:31,biosample_collection_date
SRR10489829,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,44000000,2014-07-30,,,,,,,,,SAMN13241871,2014-07-30,2020-12-08 00:00:31,biosample_collection_date
SRR10489838,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,48000000,2014-07-30,,,,,,,,,SAMN13241871,2014-07-30,2020-12-08 00:00:31,biosample_collection_date
SRR10489839,soil,Russia: Chersky,NA,PRJNA588342,NA,NA,45000000,2014-07-30,,,,,,,,,SAMN13241871,2014-07-30,2020-12-08 00:00:31,biosample_collection_date
SRR11811727,river,USA: Chesapeake Bay,NA,PRJNA599167,NA,NA,839000,2017-05-18T20:30:00Z,,,,,,,,,SAMN14946812,2017-05-18T20:30:00Z,2020-11-23 15:49:22,biosample_collection_date
SRR11811728,river,USA: Chesapeake Bay,NA,PRJNA599167,NA,NA,652000,2017-05-18T19:00:00Z,,,,,,,,,SAMN14946811,2017-05-18T19:00:00Z,2020-11-23 15:49:22,biosample_collection_date
SRR11811733,river,USA: Chesapeake Bay,NA,PRJNA599167,NA,NA,716000,2017-05-17T19:00:00Z,,,,,,,,,SAMN14946806,2017-05-17T19:00:00Z,2020-11-23 15:49:22,biosample_collection_date
SRR11811738,river,USA: Chesapeake Bay,NA,PRJNA599167,NA,NA,660000,2017-05-19T16:00:00Z,,,,,,,,,SAMN14946814,2017-05-19T16:00:00Z,2020-11-23 15:49:22,biosample_collection_date
SRR639750,river,NA,NA,PRJNA184698,NA,NA,17000000,,,,,,,,,,SAMN01860705,,2013-07-02 00:00:00,sra_release_date
SRR639752,river,NA,NA,PRJNA184698,NA,NA,27000000,,,,,,,,,,SAMN01860707,,2013-07-02 00:00:00,sra_release_date
SRR639753,river,NA,NA,PRJNA184698,NA,NA,30000000,,,,,,,,,,SAMN01860708,,2013-07-01 00:00:00,sra_release_date
SRR643889,river,NA,NA,PRJNA184698,NA,NA,8000000,,,,,,,,,,SAMN01860697,,2015-07-22 17:07:31,sra_release_date
SRR643891,river,NA,NA,PRJNA184698,NA,NA,25000000,,,,,,,,,,SAMN01860703,,2015-07-22 17:09:26,sra_release_date
