study,sample_id,order,mge_abundance,entropy,arg_total,sequencing_depth,metric_status
PRJNA1071831_Drag,SRR27827413,1,,,,,missing_quantification
PRJNA1071831_Drag,SRR27827408,2,,,,,missing_quantification
PRJNA1071831_Drag,SRR27827406,3,,,,,missing_quantification
PRJNA1071831_Drag,SRR27827404,4,,,,,missing_quantification
PRJNA1071831_Mech,SRR27827412,1,,,,,missing_quantification
PRJNA1071831_Mech,SRR27827407,2,,,,,missing_quantification
PRJNA1071831_Mech,SRR27827405,3,,,,,missing_quantification
PRJNA1071831_Mech,SRR27827403,4,,,,,missing_quantification
PRJNA599167,SRR11811727,3,,,,839000,missing_quantification
PRJNA599167,SRR11811728,2,,,,652000,missing_quantification
PRJNA599167,SRR11811733,1,,,,716000,missing_quantification
PRJNA599167,SRR11811738,4,,,,660000,missing_quantification
PRJNA599167_WGA,SRR11803505,1,,,,17700000,missing_quantification
PRJNA599167_WGA,SRR11803504,2,,,,13800000,missing_quantification
PRJNA599167_WGA,SRR11803502,3,,,,8500000,missing_quantification
PRJNA599167_WGA,SRR11803501,4,,,,13800000,missing_quantification
PRJNA599167_WGA,SRR11803500,5,,,,12100000,missing_quantification
PRJNA599167_WGA,SRR11803499,6,,,,11200000,missing_quantification
PRJNA599167_WGA,SRR11803498,7,,,,4100000,missing_quantification
PRJNA599167_WGA,SRR11803497,8,,,,9300000,missing_quantification
PRJNA599167_WGA,SRR11803496,9,,,,,missing_quantification
PRJNA599167_WGA,SRR11803495,10,,,,,missing_quantification
PRJNA599167_WGA,SRR11803503,11,,,,10700000,missing_quantification
