study,t_sample_id,t1_sample_id,t_collection_date,t1_collection_date,delta_days,pair_quality
PRJNA1000295,SRR25475464,SRR25475465,2018-03-01T00:00:00,2018-03-01T00:00:00,0.000,relaxed
PRJNA1000295,SRR25475465,SRR25475469,2018-03-01T00:00:00,2018-03-01T00:00:00,0.000,relaxed
PRJNA1000295,SRR25475469,SRR25475470,2018-03-01T00:00:00,2018-03-01T00:00:00,0.000,relaxed
PRJNA1071831_Drag,SRR27827413,SRR27827408,2022-11-03T00:00:00,2022-11-17T00:00:00,14.000,relaxed
PRJNA1071831_Drag,SRR27827408,SRR27827406,2022-11-17T00:00:00,2022-12-08T00:00:00,21.000,relaxed
PRJNA1071831_Drag,SRR27827406,SRR27827404,2022-12-08T00:00:00,2022-12-21T00:00:00,13.000,relaxed
PRJNA1071831_Mech,SRR27827412,SRR27827407,2022-11-03T00:00:00,2022-11-17T00:00:00,14.000,relaxed
PRJNA1071831_Mech,SRR27827407,SRR27827405,2022-11-17T00:00:00,2022-12-08T00:00:00,21.000,relaxed
PRJNA1071831_Mech,SRR27827405,SRR27827403,2022-12-08T00:00:00,2022-12-21T00:00:00,13.000,relaxed
PRJNA1149575,SRR30403276,SRR30403277,2023-05-23T00:00:00,2023-05-23T00:00:00,0.000,relaxed
PRJNA588342,SRR10489816,SRR10489818,2014-07-30T00:00:00,2014-07-30T00:00:00,0.000,relaxed
PRJNA588342,SRR10489818,SRR10489821,2014-07-30T00:00:00,2014-07-30T00:00:00,0.000,relaxed
PRJNA588342,SRR10489821,SRR10489826,2014-07-30T00:00:00,2014-07-30T00:00:00,0.000,relaxed
PRJNA588342,SRR10489826,SRR10489829,2014-07-30T00:00:00,2014-07-30T00:00:00,0.000,relaxed
PRJNA588342,SRR10489829,SRR10489838,2014-07-30T00:00:00,2014-07-30T00:00:00,0.000,relaxed
PRJNA588342,SRR10489838,SRR10489839,2014-07-30T00:00:00,2014-07-30T00:00:00,0.000,relaxed
PRJNA599167,SRR11811733,SRR11811728,2017-05-17T19:00:00,2017-05-18T19:00:00,1.000,relaxed
PRJNA599167,SRR11811728,SRR11811727,2017-05-18T19:00:00,2017-05-18T20:30:00,0.062,relaxed
PRJNA599167,SRR11811727,SRR11811738,2017-05-18T20:30:00,2017-05-19T16:00:00,0.812,relaxed
PRJNA599167,SRR11811738,SRR11840535,2017-05-19T16:00:00,2019-07-25T00:00:00,796.333,relaxed
PRJNA599167,SRR11840535,SRR11840546,2019-07-25T00:00:00,2019-07-25T00:00:00,0.000,relaxed
PRJNA599167_WGA,SRR11803505,SRR11803504,2017-05-17T17:30:00,2017-05-17T19:00:00,0.062,relaxed
PRJNA599167_WGA,SRR11803504,SRR11803502,2017-05-17T19:00:00,2017-05-17T20:30:00,0.062,relaxed
PRJNA599167_WGA,SRR11803502,SRR11803501,2017-05-17T20:30:00,2017-05-18T14:30:00,0.750,relaxed
PRJNA599167_WGA,SRR11803501,SRR11803500,2017-05-18T14:30:00,2017-05-18T16:00:00,0.062,relaxed
PRJNA599167_WGA,SRR11803500,SRR11803499,2017-05-18T16:00:00,2017-05-18T17:30:00,0.062,relaxed
PRJNA599167_WGA,SRR11803499,SRR11803498,2017-05-18T17:30:00,2017-05-18T19:00:00,0.062,relaxed
PRJNA599167_WGA,SRR11803498,SRR11803497,2017-05-18T19:00:00,2017-05-18T20:30:00,0.062,relaxed
PRJNA599167_WGA,SRR11803497,SRR11803496,2017-05-18T20:30:00,2017-05-19T14:30:00,0.750,relaxed
PRJNA599167_WGA,SRR11803496,SRR11803495,2017-05-19T14:30:00,2017-05-19T16:00:00,0.062,relaxed
PRJNA599167_WGA,SRR11803495,SRR11803503,2017-05-19T16:00:00,2017-05-19T17:30:00,0.062,relaxed
