sample_id,study,collection_date,read_count,temporal_source,order_relaxed,order_strict,ambiguous_date_tie,usable_relaxed,usable_strict,notes
SRR25475464,PRJNA1000295,2018-03,3000000,biosample_collection_date,1,,yes,yes,no,parsed_in_study=4; strict_unique_dates=0; temporal_source=biosample_collection_date
SRR25475465,PRJNA1000295,2018-03,5000000,biosample_collection_date,2,,yes,yes,no,parsed_in_study=4; strict_unique_dates=0; temporal_source=biosample_collection_date
SRR25475469,PRJNA1000295,2018-03,4000000,biosample_collection_date,3,,yes,yes,no,parsed_in_study=4; strict_unique_dates=0; temporal_source=biosample_collection_date
SRR25475470,PRJNA1000295,2018-03,4000000,biosample_collection_date,4,,yes,yes,no,parsed_in_study=4; strict_unique_dates=0; temporal_source=biosample_collection_date
SRR27827413,PRJNA1071831_Drag,2022-11-03,,biosample_collection_date,1,1,no,yes,yes,parsed_in_study=4; strict_unique_dates=4; temporal_source=biosample_collection_date
SRR27827408,PRJNA1071831_Drag,2022-11-17,,biosample_collection_date,2,2,no,yes,yes,parsed_in_study=4; strict_unique_dates=4; temporal_source=biosample_collection_date
SRR27827406,PRJNA1071831_Drag,2022-12-08,,biosample_collection_date,3,3,no,yes,yes,parsed_in_study=4; strict_unique_dates=4; temporal_source=biosample_collection_date
SRR27827404,PRJNA1071831_Drag,2022-12-21,,biosample_collection_date,4,4,no,yes,yes,parsed_in_study=4; strict_unique_dates=4; temporal_source=biosample_collection_date
SRR27827412,PRJNA1071831_Mech,2022-11-03,,biosample_collection_date,1,1,no,yes,yes,parsed_in_study=4; strict_unique_dates=4; temporal_source=biosample_collection_date
SRR27827407,PRJNA1071831_Mech,2022-11-17,,biosample_collection_date,2,2,no,yes,yes,parsed_in_study=4; strict_unique_dates=4; temporal_source=biosample_collection_date
SRR27827405,PRJNA1071831_Mech,2022-12-08,,biosample_collection_date,3,3,no,yes,yes,parsed_in_study=4; strict_unique_dates=4; temporal_source=biosample_collection_date
SRR27827403,PRJNA1071831_Mech,2022-12-21,,biosample_collection_date,4,4,no,yes,yes,parsed_in_study=4; strict_unique_dates=4; temporal_source=biosample_collection_date
SRR30403276,PRJNA1149575,2023-05-23,323000,biosample_collection_date,1,,yes,yes,no,parsed_in_study=2; strict_unique_dates=0; temporal_source=biosample_collection_date
SRR30403277,PRJNA1149575,2023-05-23,211000,biosample_collection_date,2,,yes,yes,no,parsed_in_study=2; strict_unique_dates=0; temporal_source=biosample_collection_date
SRR35899523,PRJNA1341951,2019-07-19,43000000,biosample_collection_date,1,1,no,no,no,parsed_in_study=1; strict_unique_dates=1; temporal_source=biosample_collection_date
