sample_id,study,proposed_order,order_source,confidence,is_usable_for_lag,notes
SRR25475464,PRJNA1000295,,none,none,no,no usable ordering field found
SRR25475465,PRJNA1000295,,none,none,no,no usable ordering field found
SRR25475469,PRJNA1000295,,none,none,no,no usable ordering field found
SRR25475470,PRJNA1000295,,none,none,no,no usable ordering field found
SRR30403276,PRJNA1149575,,none,none,no,no usable ordering field found
SRR30403277,PRJNA1149575,,none,none,no,no usable ordering field found
SRR35899523,PRJNA1341951,,none,none,no,no usable ordering field found
SRR35899572,PRJNA1341956,,none,none,no,no usable ordering field found
SRR35899551,PRJNA1342024,,none,none,no,no usable ordering field found
SRR35899599,PRJNA1342025,,none,none,no,no usable ordering field found
SRR35899562,PRJNA1342026,,none,none,no,no usable ordering field found
SRR35899622,PRJNA1342125,,none,none,no,no usable ordering field found
SRR35899617,PRJNA1342288,,none,none,no,no usable ordering field found
SRR35899647,PRJNA1342330,,none,none,no,no usable ordering field found
SRR35899621,PRJNA1342485,,none,none,no,no usable ordering field found
SRR35899646,PRJNA1342515,,none,none,no,no usable ordering field found
SRR35899614,PRJNA1342540,,none,none,no,no usable ordering field found
SRR35899560,PRJNA1342696,,none,none,no,no usable ordering field found
SRR35899498,PRJNA1343021,,none,none,no,no usable ordering field found
SRR35899609,PRJNA1343173,,none,none,no,no usable ordering field found
SRR639750,PRJNA184698,,none,none,no,no usable ordering field found
SRR639752,PRJNA184698,,none,none,no,no usable ordering field found
SRR639753,PRJNA184698,,none,none,no,no usable ordering field found
SRR643889,PRJNA184698,,none,none,no,no usable ordering field found
SRR643891,PRJNA184698,,none,none,no,no usable ordering field found
SRR7299214,PRJNA475763,,none,none,no,no usable ordering field found
SRR10489816,PRJNA588342,,none,none,no,no usable ordering field found
SRR10489818,PRJNA588342,,none,none,no,no usable ordering field found
SRR10489821,PRJNA588342,,none,none,no,no usable ordering field found
SRR10489826,PRJNA588342,,none,none,no,no usable ordering field found
SRR10489829,PRJNA588342,,none,none,no,no usable ordering field found
SRR10489838,PRJNA588342,,none,none,no,no usable ordering field found
SRR10489839,PRJNA588342,,none,none,no,no usable ordering field found
SRR11811727,PRJNA599167,,none,none,no,no usable ordering field found
SRR11811728,PRJNA599167,,none,none,no,no usable ordering field found
SRR11811733,PRJNA599167,,none,none,no,no usable ordering field found
SRR11811738,PRJNA599167,,none,none,no,no usable ordering field found
SRR11840535,PRJNA599167,,none,none,no,no usable ordering field found
SRR11840546,PRJNA599167,,none,none,no,no usable ordering field found
SRR13853495,PRJNA706165,,none,none,no,no usable ordering field found
SRR13938450,PRJNA713765,,none,none,no,no usable ordering field found
