sample,entropy,arg_total,mge_abundance
SRR27827413,6.301372,56046,445
SRR27827408,9.111418,37917,90
SRR27827406,6.993109,40582,472
SRR27827404,9.979761,63382,25
SRR27827412,8.149595,49185,51
SRR27827407,9.453993,27397,60
SRR27827405,10.168663,67858,166
SRR27827403,10.132826,55655,13
SRR11803495,6.175443,10490,37
SRR11803496,4.559809,15589,36
SRR11803497,4.744204,7663,23
SRR11803498,5.932816,3264,0
SRR11803499,5.303453,15270,103
SRR11803500,5.397316,11888,17
SRR11803501,4.782549,24243,142
SRR11803502,4.155503,22702,98
SRR11803503,6.979757,9780,50
SRR11803504,6.897424,22047,0
SRR11803505,6.273892,24897,0
