metric,value
A_null_naive_r2_median,0.8556
A_null_naive_r2_pct_above_0.70,94.0
A_null_naive_mge_pct_sig,11.3
A_null_diff_r2_median,0.0699
A_null_within_wga_coeff_median,-0.1
A_null_within_wga_pct_positive,49.9
B_signal_naive_r2_median,0.9399
B_signal_naive_r2_pct_above_0.70,99.4
B_signal_naive_mge_pct_sig,90.2
B_signal_diff_r2_median,0.6921
B_signal_within_wga_coeff_median,149.3
B_signal_within_wga_pct_positive,98.0
observed_naive_r2,0.720
observed_diff_r2,0.020
observed_wga_coeff,-33.0
true_beta_scenario_b,150
