study,country,site,treatment,method,gene,arg_class,influent_relabund,effluent_relabund,source
Brindova_SlovakiaTaiwan,Taiwan,Taiwan,conventional A/O,metagenomic,Sul1,sulfonamide,0.00076,0.001,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Slovakia,Slovakia,conventional A/O,metagenomic,Sul1,sulfonamide,0.0037,0.00081,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Taiwan,Taiwan,conventional A/O,metagenomic,tetM,tetracycline,0.0021000000000000003,0.0021000000000000003,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Slovakia,Slovakia,conventional A/O,metagenomic,tetM,tetracycline,0.0032,0.0019,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Taiwan,Taiwan,conventional A/O,metagenomic,ermB,MLS,0.00051,0.0017,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Slovakia,Slovakia,conventional A/O,metagenomic,ermB,MLS,0.0,0.0025,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Taiwan,Taiwan,conventional A/O,metagenomic,blaTEM,beta-lactam,0.00030000000000000003,0.0005,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Slovakia,Slovakia,conventional A/O,metagenomic,blaTEM,beta-lactam,0.0019,0.0006500000000000001,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Taiwan,Taiwan,conventional A/O,qPCR,Sul1,sulfonamide,0.15000000000000002,0.17,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Slovakia,Slovakia,conventional A/O,qPCR,Sul1,sulfonamide,0.03,0.052000000000000005,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Taiwan,Taiwan,conventional A/O,qPCR,tetM,tetracycline,0.011000000000000001,0.0048,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Slovakia,Slovakia,conventional A/O,qPCR,tetM,tetracycline,0.0011,0.0016,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Taiwan,Taiwan,conventional A/O,qPCR,ermB,MLS,0.01,0.002,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Slovakia,Slovakia,conventional A/O,qPCR,ermB,MLS,0.011000000000000001,0.0092,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Taiwan,Taiwan,conventional A/O,qPCR,blaTEM,beta-lactam,0.0026000000000000003,0.0053,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
Brindova_SlovakiaTaiwan,Slovakia,Slovakia,conventional A/O,qPCR,blaTEM,beta-lactam,0.011000000000000001,0.0028,"PMC11471163 (Slovakia & Taiwan resistome study), Supplementary Table 4"
