sample_id,ARG_total,treatment,time,plant_id,campaign
AOP_C10-I,1808292635542.974121,1,1,AOP,C10-I
AOP_C12-I,3006917521787.530273,1,1,AOP,C12-I
AOP_C2-I,124186230657.129852,1,0,AOP,C2-I
AOP_C5-I,10220360943.080973,1,0,AOP,C5-I
CW_C10-I,1819168985.614191,1,1,CW,C10-I
CW_C12-I,1454724397658.295898,1,1,CW,C12-I
CW_C2-I,30431255031.984520,1,0,CW,C2-I
CW_C5-I,3142134778.839891,1,0,CW,C5-I
GAC_C10-I,684104481674.605591,1,1,GAC,C10-I
GAC_C12-I,1095212642826.021973,1,1,GAC,C12-I
GAC_C2-I,119200443387.836945,1,0,GAC,C2-I
GAC_C5-I,7549937920.606977,1,0,GAC,C5-I
OUT_WWTP_C10-I,396978615232.560242,0,1,OUT_WWTP,C10-I
OUT_WWTP_C12-I,1286045448691.293213,0,1,OUT_WWTP,C12-I
OUT_WWTP_C2-I,2024890172822.139160,0,0,OUT_WWTP,C2-I
OUT_WWTP_C5-I,337846697352.672058,0,0,OUT_WWTP,C5-I
