Sample,Campaign,Gene,conc_gm
AOP,C10-I,16S rRNA,1680008237884.221
AOP,C10-I,blaAmpC,67836050.56766345
AOP,C10-I,ermB,33102290.80195007
AOP,C10-I,intI1,119987316811.0324
AOP,C10-I,sul1,1484329268.5867996
AOP,C10-I,sul2,2473591593.3559184
AOP,C10-I,tetW,61957865.338427864
AOP,C12-I,16S rRNA,2835202507341.8267
AOP,C12-I,blaAmpC,124834937.9566389
AOP,C12-I,ermB,10216211.316367416
AOP,C12-I,intI1,150190502960.6391
AOP,C12-I,sul1,5225652648.604132
AOP,C12-I,sul2,8891293266.446869
AOP,C12-I,tetW,161696826.27447638
AOP,C2-I,16S rRNA,121708768827.14818
AOP,C2-I,blaAmpC,6044898.798948158
AOP,C2-I,ermB,48765261.72869062
AOP,C2-I,intI1,595702328.917649
AOP,C2-I,sul1,8529146.367197605
AOP,C2-I,sul2,1714033860.9186883
AOP,C2-I,tetW,2068442.208797213
AOP,C5-I,16S rRNA,5253891570.829919
AOP,C5-I,blaAmpC,7271076.025477981
AOP,C5-I,ermB,5959851.364738237
AOP,C5-I,intI1,2949391500.9080706
AOP,C5-I,sul1,741472886.4112499
AOP,C5-I,sul2,390772871.6621727
AOP,C5-I,tetW,582957.8740150576
CW,C10-I,16S rRNA,1776427830.0955536
CW,C10-I,blaAmpC,187876.19196383265
CW,C10-I,ermB,380385.51193725126
CW,C10-I,intI1,12301444.687134055
CW,C10-I,sul1,12114965.771676466
CW,C10-I,sul2,15847417.625582324
CW,C10-I,tetW,103538.33268444515
CW,C12-I,16S rRNA,1323283916467.8113
CW,C12-I,blaAmpC,236628867.30086946
CW,C12-I,ermB,8197280620.932505
CW,C12-I,intI1,45219301058.59458
CW,C12-I,sul1,62914809155.85276
CW,C12-I,sul2,11209567771.551355
CW,C12-I,tetW,2475923718.835831
CW,C2-I,16S rRNA,30167671899.686573
CW,C2-I,blaAmpC,4489542.233091144
CW,C2-I,ermB,43230422.36138945
CW,C2-I,intI1,74425019.32575387
CW,C2-I,sul1,4373951.416506083
CW,C2-I,sul2,78624896.44857354
CW,C2-I,tetW,13097078.046017893
CW,C5-I,16S rRNA,3043812147.366255
CW,C5-I,blaAmpC,2543751.510921983
CW,C5-I,ermB,14303879.633818667
CW,C5-I,intI1,50730167.510419965
CW,C5-I,sul1,17611978.344704635
CW,C5-I,sul2,5586548.468776494
CW,C5-I,tetW,4247781.94942617
GAC,C10-I,16S rRNA,649638273758.2996
GAC,C10-I,blaAmpC,26303872.515358172
GAC,C10-I,ermB,509124655.1285811
GAC,C10-I,intI1,9372553043.92409
GAC,C10-I,sul1,18497393770.63627
GAC,C10-I,sul2,2214598622.88865
GAC,C10-I,tetW,826514140.5565484
GAC,C12-I,16S rRNA,1053741011371.5402
GAC,C12-I,blaAmpC,74653898.21668784
GAC,C12-I,ermB,33902377.06336427
GAC,C12-I,intI1,18335390761.28774
GAC,C12-I,sul1,18659368878.07807
GAC,C12-I,sul2,2145935317.5162873
GAC,C12-I,tetW,270278459.945291
GAC,C2-I,16S rRNA,115395294748.91476
GAC,C2-I,blaAmpC,57434951.299778216
GAC,C2-I,ermB,1441170498.462587
GAC,C2-I,intI1,1122561436.5075843
GAC,C2-I,sul1,39649038.51000416
GAC,C2-I,sul2,506751563.4171343
GAC,C2-I,tetW,319912952.5659928
GAC,C5-I,16S rRNA,4299029105.603403
GAC,C5-I,blaAmpC,7341786.089218665
GAC,C5-I,ermB,178562780.48240077
GAC,C5-I,intI1,2040371442.0819025
GAC,C5-I,sul1,541132410.874894
GAC,C5-I,sul2,103019417.61374603
GAC,C5-I,tetW,165953797.12100208
IN WWTP,C10-I,16S rRNA,83839680418300.42
IN WWTP,C10-I,blaAmpC,196219181616.27466
IN WWTP,C10-I,ermB,13724587954155.754
IN WWTP,C10-I,intI1,2793699936026.621
IN WWTP,C10-I,sul1,7835528055370.928
IN WWTP,C10-I,sul2,1117932642339.8728
IN WWTP,C10-I,tetW,571993876948.7266
IN WWTP,C12-I,16S rRNA,197664930988297.78
IN WWTP,C12-I,blaAmpC,239873996335.74377
IN WWTP,C12-I,ermB,10022830727532.076
IN WWTP,C12-I,intI1,13089882151699.793
IN WWTP,C12-I,sul1,12982708068992.748
IN WWTP,C12-I,sul2,3559656029060.1978
IN WWTP,C12-I,tetW,2858309043928.5283
OUT WWTP,C10-I,16S rRNA,326157184048.4765
OUT WWTP,C10-I,blaAmpC,69914552.3590646
OUT WWTP,C10-I,ermB,1161718834.2383583
OUT WWTP,C10-I,intI1,45475836383.23117
OUT WWTP,C10-I,sul1,19940356988.51537
OUT WWTP,C10-I,sul2,2883222424.652971
OUT WWTP,C10-I,tetW,133134901.70504369
OUT WWTP,C12-I,16S rRNA,1160962273786.6106
OUT WWTP,C12-I,blaAmpC,915061091.0188973
OUT WWTP,C12-I,ermB,10444270093.617645
OUT WWTP,C12-I,intI1,44116870982.60147
OUT WWTP,C12-I,sul1,50429260147.140045
OUT WWTP,C12-I,sul2,6062688448.791779
OUT WWTP,C12-I,tetW,7320877574.840184
OUT WWTP,C2-I,16S rRNA,1987259470233.9163
OUT WWTP,C2-I,blaAmpC,280781977.1576379
OUT WWTP,C2-I,ermB,12173161010.700254
OUT WWTP,C2-I,intI1,14011472046.169573
OUT WWTP,C2-I,sul1,307476065.49000555
OUT WWTP,C2-I,sul2,4144948768.2164783
OUT WWTP,C2-I,tetW,2142882440.8412201
OUT WWTP,C5-I,16S rRNA,175088609312.06982
OUT WWTP,C5-I,blaAmpC,566014930.3598673
OUT WWTP,C5-I,ermB,16646264960.576952
OUT WWTP,C5-I,intI1,80456387588.3909
OUT WWTP,C5-I,sul1,33592003495.835926
OUT WWTP,C5-I,sul2,3526342848.3076367
OUT WWTP,C5-I,tetW,4735473325.553278
