query_id,db_id,pident,identity_bin,true_label,pred_label_blast,blast_correct
gb|WP_001985623.1|ARO:3004578|Abau_AbuO,gb|AAO42740.1|ARO:3007123|tet(O/W/O),32.075,lt_40,antibiotic efflux,antibiotic target protection,0
gb|VWQ04088.1|ARO:3005041|mlaF,gb|AAC75271.1|ARO:3003952|YojI,31.797,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC76539.1|ARO:3000796|mdtF,gb|AAG07594.1|ARO:3000808|MexI,30.431,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAB38260.1|ARO:3000830|cpxA,gb|CYF42523.1|ARO:3004047|kdpD,24.779,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAJ77856.1|ARO:3000777|adeF,gb|AAG07594.1|ARO:3000808|MexI,33.687,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ACD35503.1|ARO:3000572|tet(42),gb|QIQ10744.1|ARO:3007492|tet(62),31.463,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AEM62948.1|ARO:3003196|tet(45),gb|QJR33972.1|ARO:3007493|tet(63),60.987,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAA71915.1|ARO:3000173|tet(E),gb|QIQ10744.1|ARO:3007492|tet(62),55.754,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|CAA42594.1|ARO:3002690|Sliv_cmlR,gb|AAB36568.1|ARO:3002700|cmlv,40.496,40_to_70,antibiotic efflux,antibiotic inactivation,0
gb|ADM92606.1|ARO:3000549|adeS,gb|CYF42523.1|ARO:3004047|kdpD,24.67,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAM77075.1|ARO:3002695|cmlA5,gb|NP_216393.1|ARO:3007662|Rv1877,31.544,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAC14594.1|ARO:3003055|smeD,gb|NP_706356.2|ARO:3007509|Sfle_acrA,50.781,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|CAA78046.1|ARO:3002701|Rfas_cmr,gb|AAB36568.1|ARO:3002700|cmlv,42.338,40_to_70,antibiotic efflux,antibiotic inactivation,0
gb|BAA34299.1|ARO:3003034|mexX,gb|NP_706356.2|ARO:3007509|Sfle_acrA,37.197,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAA99504.1|ARO:3002987|bcrA,gb|AAC75271.1|ARO:3003952|YojI,27.451,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAJ09383.1|ARO:3003046|qacA,gb|AMD83542.1|ARO:3007669|aadT,34.638,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC74149.2|ARO:3001216|mdtH,gb|CAA37477.1|ARO:3002891|otr(A)S.rim,32.432,lt_40,antibiotic efflux,antibiotic target protection,0
gb|AAC75135.2|ARO:3000792|mdtA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,29.595,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAL19306.1|ARO:3000789|mdsA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,31.519,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAH35802.1|ARO:3002983|amrB,gb|AAG07594.1|ARO:3000808|MexI,31.238,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG03814.1|ARO:3000377|MexA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,57.682,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|BAC67143.1|ARO:3000166|tet(B),gb|QIQ10744.1|ARO:3007492|tet(62),48.677,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAC72341.1|ARO:3000182|tet(Y),gb|QIQ10744.1|ARO:3007492|tet(62),57.841,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAD22144.1|ARO:3002698|cmlB,gb|WP_124470450.1|ARO:3007494|tet(64),26.49,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAV85982.1|ARO:3000535|macB,gb|BAB80490.1|ARO:3007644|Cper_cplR,27.632,lt_40,antibiotic efflux,antibiotic target protection,0
gb|AAG07595.1|ARO:3000809|OpmD,gb|WP_065158950.1|ARO:3006154|BEL-4,39.024,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAC60780.1|ARO:3003049|rosB,gb|AAK31370.1|ARO:3002022|CMY-11,48.148,40_to_70,antibiotic efflux,antibiotic inactivation,0
gb|BAA11237.1|ARO:3000254|emrY,gb|AMD83542.1|ARO:3007669|aadT,27.404,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAQ10694.1|ARO:3003047|qacB,gb|AMD83542.1|ARO:3007669|aadT,34.638,lt_40,antibiotic efflux,antibiotic efflux,1
gb|KIX81495.1|ARO:3002813|lmrB,gb|NP_216393.1|ARO:3007662|Rv1877,24.832,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ABV18113.1|ARO:3001329|mdtG,gb|QIQ10744.1|ARO:3007492|tet(62),26.158,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAC11911.1|ARO:3003551|emeA,gb|WPF67354.1|ARO:3007838|tet(65),27.322,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAX14802.1|ARO:3000781|adeJ,gb|AAG07594.1|ARO:3000808|MexI,32.146,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAA07390.1|ARO:3002893|tcr3,gb|NP_216393.1|ARO:3007662|Rv1877,32.665,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAC80727.1|ARO:3000476|tet(31),gb|QIQ10744.1|ARO:3007492|tet(62),47.258,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|ABS43151.1|ARO:3000784|cmeB,gb|AAG07594.1|ARO:3000808|MexI,32.061,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAB41956.1|ARO:3000800|MexC,gb|NP_706356.2|ARO:3007509|Sfle_acrA,46.797,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAC75136.1|ARO:3000793|mdtB,gb|AAG07594.1|ARO:3000808|MexI,31.65,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAL14440.1|ARO:3000775|adeB,gb|AAG07594.1|ARO:3000808|MexI,30.136,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAC14595.1|ARO:3003056|smeE,gb|AAG07594.1|ARO:3000808|MexI,31.31,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAD70268.1|ARO:3002704|fexA,gb|NP_216393.1|ARO:3007662|Rv1877,29.508,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAD04032.1|ARO:3002892|otr(B),gb|NP_216393.1|ARO:3007662|Rv1877,30.182,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAK97755.1|ARO:3000167|tet(C),gb|QIQ10744.1|ARO:3007492|tet(62),55.838,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAD25538.1|ARO:3000174|tet(G),gb|QIQ10744.1|ARO:3007492|tet(62),67.617,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAF27726.1|ARO:3002694|cmlA4,gb|WP_124470450.1|ARO:3007494|tet(64),29.143,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAA26057.1|ARO:3002693|cmlA1,gb|NP_216393.1|ARO:3007662|Rv1877,31.544,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAL30186.1|ARO:3002699|cmlB1,gb|NP_216393.1|ARO:3007662|Rv1877,29.139,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC73564.1|ARO:3000216|acrB,gb|AAG07594.1|ARO:3000808|MexI,30.939,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAA75663.1|ARO:3000175|tet(H),gb|QIQ10744.1|ARO:3007492|tet(62),49.476,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAW66497.1|ARO:3000566|tet(39),gb|WP_124470450.1|ARO:3007494|tet(64),56.568,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAG05881.1|ARO:3000803|MexE,gb|NP_706356.2|ARO:3007509|Sfle_acrA,34.031,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAD12753.1|ARO:3000177|tet(J),gb|QIQ10744.1|ARO:3007492|tet(62),50.526,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAC77293.1|ARO:3001214|mdtM,gb|NP_216393.1|ARO:3007662|Rv1877,24.026,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAF67494.2|ARO:3002522|novA,gb|AAC75271.1|ARO:3003952|YojI,22.078,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAJ77857.1|ARO:3000778|adeG,gb|NP_706356.2|ARO:3007509|Sfle_acrA,33.676,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAB58161.1|ARO:3003010|ceoB,gb|AAG07594.1|ARO:3000808|MexI,33.658,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAA22277.1|ARO:3003007|bmr,gb|WPF67354.1|ARO:3007838|tet(65),26.357,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAL75563.1|ARO:3000168|tet(D),gb|QIQ10744.1|ARO:3007492|tet(62),52.094,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|ACJ63262.1|ARO:3003107|mef(B),gb|QNR09091.1|ARO:3007044|mef(F),38.636,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AEZ36150.1|ARO:3000448|QepA1,gb|AMD83542.1|ARO:3007669|aadT,37.021,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAL14439.1|ARO:3000774|adeA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,39.335,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC75137.1|ARO:3000794|mdtC,gb|AAG07594.1|ARO:3000808|MexI,30.469,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC75429.1|ARO:3000833|evgS,gb|CYF42523.1|ARO:3004047|kdpD,28.205,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC75731.1|ARO:3000516|emrR,gb|WP_016162389.1|ARO:3005329|OXA-673,29.268,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAF42063.1|ARO:3000810|mtrC,gb|NP_706356.2|ARO:3007509|Sfle_acrA,42.347,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAG03380.1|ARO:3002703|cmx,gb|AAB36568.1|ARO:3002700|cmlv,41.582,40_to_70,antibiotic efflux,antibiotic inactivation,0
gb|AAL19305.1|ARO:3000790|mdsB,gb|AAG07594.1|ARO:3000808|MexI,33.876,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAA16344.1|ARO:3000491|acrD,gb|AAG07594.1|ARO:3000808|MexI,31.34,lt_40,antibiotic efflux,antibiotic efflux,1
