query_id,pident,true_label,pred_label_embedding,embedding_correct,blast_correct
gb|AAL19308.1|ARO:3000504|golS,30.556000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAE78082.1|ARO:3003550|mdtP,23.529000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAE77778.1|ARO:3000508|gadX,28.125000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC76539.1|ARO:3000796|mdtF,25.758000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAB38260.1|ARO:3000830|cpxA,27.660000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAJ77856.1|ARO:3000777|adeF,27.273000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAB41874.1|ARO:3000815|mgrA,26.923000,antibiotic efflux,antibiotic target alteration,0,0
gb|ACD35503.1|ARO:3000572|tet(42),28.313000,antibiotic efflux,antibiotic target alteration,0,1
gb|AEM62948.1|ARO:3003196|tet(45),27.273000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAA71915.1|ARO:3000173|tet(E),32.812000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAA42594.1|ARO:3002690|Sliv_cmlR,27.557000,antibiotic efflux,antibiotic target alteration,0,0
gb|ABD30512.1|ARO:3000839|arlS,35.484000,antibiotic efflux,antibiotic target alteration,0,0
gb|ADM92606.1|ARO:3000549|adeS,28.000000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAL20862.1|ARO:3000826|sdiA,40.984000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAM77075.1|ARO:3002695|cmlA5,28.571000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAC14594.1|ARO:3003055|smeD,43.490000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAG05883.1|ARO:3000805|OprN,31.395000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAA78046.1|ARO:3002701|Rfas_cmr,27.507000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAA34299.1|ARO:3003034|mexX,37.015000,antibiotic efflux,antibiotic target alteration,0,1
gb|ALX99516.1|ARO:3003811|adeC,23.973000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAD51347.1|ARO:3003067|smeS,32.159000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAA99504.1|ARO:3002987|bcrA,25.871000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAB13167.1|ARO:3003064|ykkD,34.211000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAJ09383.1|ARO:3003046|qacA,27.529000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC74149.2|ARO:3001216|mdtH,26.190000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAU95768.1|ARO:3000026|mepA,21.277000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAC75135.2|ARO:3000792|mdtA,32.448000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAL19306.1|ARO:3000789|mdsA,31.025000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAA64891.1|ARO:3000812|mtrE,30.769000,antibiotic efflux,antibiotic target alteration,0,0
gb|ADM92605.1|ARO:3000553|adeR,34.211000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAH35802.1|ARO:3002983|amrB,37.255000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAG03814.1|ARO:3000377|MexA,42.257000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAC67143.1|ARO:3000166|tet(B),29.688000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAC72341.1|ARO:3000182|tet(Y),38.636000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAD22144.1|ARO:3002698|cmlB,27.692000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAV85982.1|ARO:3000535|macB,41.964000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAG07595.1|ARO:3000809|OpmD,34.483000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAC60780.1|ARO:3003049|rosB,37.500000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAA20116.1|ARO:3000180|tetA(P),30.435000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAA11237.1|ARO:3000254|emrY,27.457000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAJ77855.1|ARO:3000779|adeH,28.736000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAQ10694.1|ARO:3003047|qacB,27.316000,antibiotic efflux,antibiotic target alteration,0,1
gb|KIX81495.1|ARO:3002813|lmrB,23.096000,antibiotic efflux,antibiotic target alteration,0,1
gb|ACJ59254.1|ARO:3000768|abeS,57.143000,antibiotic efflux,antibiotic target alteration,0,0
gb|ABV18113.1|ARO:3001329|mdtG,40.000000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAA11236.1|ARO:3000206|emrK,21.845000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAC11911.1|ARO:3003551|emeA,29.577000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAX14802.1|ARO:3000781|adeJ,25.664000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAC14596.1|ARO:3003057|smeF,21.795000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAA07390.1|ARO:3002893|tcr3,28.758000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAC80727.1|ARO:3000476|tet(31),38.095000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC76296.1|ARO:3000656|AcrS,37.681000,antibiotic efflux,antibiotic target alteration,0,1
gb|ABS43151.1|ARO:3000784|cmeB,28.889000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAO79432.1|ARO:3000785|cmeC,34.884000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAB41956.1|ARO:3000800|MexC,42.045000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAB41958.1|ARO:3000802|OprJ,42.105000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAC75136.1|ARO:3000793|mdtB,47.059000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAB56495.1|ARO:3000746|mepR,28.205000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAL14440.1|ARO:3000775|adeB,37.931000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAE77933.1|ARO:3000518|CRP,23.490000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAC14595.1|ARO:3003056|smeE,27.500000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAD70268.1|ARO:3002704|fexA,27.586000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAA99505.1|ARO:3002988|bcrB,42.105000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAD04032.1|ARO:3002892|otr(B),28.436000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAM12479.1|ARO:3000567|tet(40),29.448000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAK97755.1|ARO:3000167|tet(C),27.368000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAD25538.1|ARO:3000174|tet(G),35.938000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAF27726.1|ARO:3002694|cmlA4,27.473000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAB36671.1|ARO:3000832|evgA,26.601000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAA26057.1|ARO:3002693|cmlA1,27.473000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAL30186.1|ARO:3002699|cmlB1,26.667000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC73564.1|ARO:3000216|acrB,24.752000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAA75663.1|ARO:3000175|tet(H),28.571000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAW66497.1|ARO:3000566|tet(39),31.250000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAG05881.1|ARO:3000803|MexE,33.618000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAD12753.1|ARO:3000177|tet(J),26.437000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAB84282.1|ARO:3000181|tet(V),25.322000,antibiotic efflux,antibiotic target alteration,0,0
gb|CCQ22388.1|ARO:3000421|norB,26.174000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAL19304.1|ARO:3000791|mdsC,24.752000,antibiotic efflux,antibiotic target alteration,0,0
gb|ABS43901.1|ARO:3000783|cmeA,28.529000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC77293.1|ARO:3001214|mdtM,22.115000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAF67494.2|ARO:3002522|novA,26.667000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAJ77857.1|ARO:3000778|adeG,32.927000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAL34518.1|ARO:3000526|cmeR,31.325000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAB35162.1|ARO:3000676|H-NS,36.667000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAB58161.1|ARO:3003010|ceoB,29.592000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAA22277.1|ARO:3003007|bmr,22.078000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC60781.1|ARO:3003048|rosA,31.915000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAL75563.1|ARO:3000168|tet(D),33.846000,antibiotic efflux,antibiotic target alteration,0,0
gb|ACJ63262.1|ARO:3003107|mef(B),29.167000,antibiotic efflux,antibiotic target alteration,0,0
gb|AEZ36150.1|ARO:3000448|QepA1,30.047000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAL14439.1|ARO:3000774|adeA,43.202000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC75137.1|ARO:3000794|mdtC,39.583000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAC75429.1|ARO:3000833|evgS,24.906000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAC75731.1|ARO:3000516|emrR,37.838000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAF42063.1|ARO:3000810|mtrC,95.874000,antibiotic efflux,antibiotic efflux,1,1
gb|AAG03380.1|ARO:3002703|cmx,27.479000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAD89844.2|ARO:3000753|abeM,37.500000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAL19305.1|ARO:3000790|mdsB,34.783000,antibiotic efflux,antibiotic target alteration,0,0
gb|ATC67679.1|ARO:3000838|arlR,38.813000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAA16344.1|ARO:3000491|acrD,35.714000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAK52606.1|ARO:3002696|cmlA6,27.473000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAE78084.1|ARO:3003548|mdtN,25.200000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAB28795.1|ARO:3000178|tet(K),25.258000,antibiotic efflux,antibiotic target alteration,0,1
gb|AFK80333.1|ARO:3001313|facT,30.645000,antibiotic efflux,antibiotic target alteration,0,1
gb|ACJ41739.1|ARO:3000780|adeI,43.590000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAG07593.1|ARO:3000807|MexH,25.680000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC76298.1|ARO:3000502|AcrF,31.250000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAC76297.1|ARO:3000499|AcrE,45.299000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAD51344.1|ARO:3003051|smeA,41.641000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAH35803.1|ARO:3002982|amrA,37.228000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAD51348.1|ARO:3003066|smeR,38.288000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAS68233.1|ARO:3000391|norA,24.545000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAD44693.1|ARO:3000816|mtrA,26.596000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAB41957.1|ARO:3000801|MexD,27.941000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAP93922.1|ARO:3000569|tet(41),32.710000,antibiotic efflux,antibiotic target alteration,0,0
gb|AYV52072.1|ARO:3002882|lmrD,28.111000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAM10414.1|ARO:3003039|OprA,27.381000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAX14803.1|ARO:3000782|adeK,42.308000,antibiotic efflux,antibiotic target alteration,0,0
gb|AFK13828.1|ARO:3000823|ramA,50.000000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAV85981.1|ARO:3000533|macA,26.415000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAB58160.1|ARO:3003009|ceoA,37.107000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAA03986.1|ARO:3000343|tap,68.382000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAC45805.1|ARO:3002702|cmrA,29.226000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAA16547.1|ARO:3000027|emrA,22.330000,antibiotic efflux,antibiotic target alteration,0,1
gb|ACS83748.1|ARO:3000573|tet(43),33.795000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAA34300.1|ARO:3003033|mexY,31.148000,antibiotic efflux,antibiotic target alteration,0,0
gb|AML99881.1|ARO:3001327|MdtK,26.250000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAB13166.1|ARO:3003063|ykkC,29.032000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC75733.1|ARO:3000074|emrB,27.807000,antibiotic efflux,antibiotic target alteration,0,1
gb|AGV28567.1|ARO:3000559|adeN,30.631000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAE77781.1|ARO:3000795|mdtE,39.193000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAA15221.2|ARO:3000263|marA,41.837000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAF42062.1|ARO:3000811|mtrD,30.000000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAA74437.1|ARO:3000378|MexB,30.000000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAD09860.1|ARO:3000561|tet(30),47.619000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAV80464.1|ARO:3000565|tet(38),19.231000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAN06707.1|ARO:3000165|tet(A),34.375000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAD25063.1|ARO:3000183|tet(Z),31.818000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAD51345.1|ARO:3003052|smeB,29.032000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAC36944.1|ARO:3003006|blt,20.339000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAE78083.1|ARO:3003549|mdtO,41.667000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAA07072.1|ARO:3002812|pp-flo,42.308000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAK76137.1|ARO:3000024|patA,24.034000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAK76136.1|ARO:3000025|patB,27.230000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC43969.1|ARO:3003037|opcM,27.869000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAK99679.1|ARO:3000822|pmrA,23.129000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAD12227.2|ARO:3000478|tet(33),30.682000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAK37619.1|ARO:3000481|tet(35),28.571000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAR96051.1|ARO:3002894|otr(C),17.040000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAG03546.1|ARO:3003679|TriA,25.625000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAG03547.1|ARO:3003680|TriB,24.260000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAG03548.1|ARO:3003681|TriC,40.625000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAG08359.1|ARO:3003682|OpmH,31.579000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAE06007.1|ARO:3003698|mexP,27.299000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAE06008.1|ARO:3003699|mexQ,36.364000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAG07065.1|ARO:3003692|MexJ,25.532000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAG07064.1|ARO:3003693|MexK,35.484000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAG07762.1|ARO:3003030|MexV,27.299000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAG07763.1|ARO:3003031|MexW,29.630000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAE06009.1|ARO:3003700|opmE,33.333000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAE06005.1|ARO:3003704|mexM,33.875000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAE06006.1|ARO:3003705|mexN,25.490000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAA26793.1|ARO:3003748|oleC,25.806000,antibiotic efflux,antibiotic target alteration,0,1
gb|ABW91179.1|ARO:3004665|cmlA8,26.374000,antibiotic efflux,antibiotic target alteration,0,0
gb|ANK04027.1|ARO:3003838|gadW,27.381000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAE00499.1|ARO:3003835|cdeA,23.188000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAC73788.1|ARO:3003841|kdpE,36.161000,antibiotic efflux,antibiotic target alteration,0,1
gb|NP_862226.1|ARO:3004639|Cstr_tetA,32.967000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAP43109.1|ARO:3003922|oqxA,32.845000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAP43110.2|ARO:3003923|oqxB,29.762000,antibiotic efflux,antibiotic target alteration,0,0
gb|XP_753111.1|ARO:3003942|abcA,26.291000,antibiotic efflux,antibiotic target alteration,0,1
gb|WP_104671188.1|ARO:3003948|efrA,28.696000,antibiotic efflux,antibiotic target alteration,0,1
gb|CDO61516.1|ARO:3003949|efrB,30.208000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC74000.1|ARO:3003950|msbA,27.434000,antibiotic efflux,antibiotic target alteration,0,1
gb|ADO96486.1|ARO:3003953|hmrM,36.667000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAG75524.1|ARO:3003954|efmA,36.709000,antibiotic efflux,antibiotic target alteration,0,0
gb|CCP45647.1|ARO:3003955|efpA,29.782000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAF40763.1|ARO:3003961|farA,26.818000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAF40764.1|ARO:3003962|farB,30.547000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAD08227.1|ARO:3003964|hp1181,28.000000,antibiotic efflux,antibiotic target alteration,0,1
gb|ABF33001.1|ARO:3003969|lmrP,30.435000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAC43550.1|ARO:3003967|lfrA,28.155000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAF74725.1|ARO:3004659|Mef(En2),22.310000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAA14147.1|ARO:3004667|Saur_norA,25.000000,antibiotic efflux,antibiotic target alteration,0,0
gb|ADI87853.1|ARO:3004666|pexA,26.923000,antibiotic efflux,antibiotic target alteration,0,1
gb|APB03219.1|ARO:3003986|TaeA,25.926000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAG05916.1|ARO:3004073|MuxA,33.143000,antibiotic efflux,antibiotic target alteration,0,1
gb|APB03214.1|ARO:3003980|tetA(58),22.172000,antibiotic efflux,antibiotic target alteration,0,1
gb|SIP52035.1|ARO:3004054|Paer_CpxR,37.615000,antibiotic efflux,antibiotic target alteration,0,1
gb|ANZ79241.1|ARO:3004036|tetB(60),25.238000,antibiotic efflux,antibiotic target alteration,0,1
gb|AET10444.1|ARO:3004032|tetA(46),26.794000,antibiotic efflux,antibiotic target alteration,0,1
gb|AET10445.1|ARO:3004033|tetB(46),25.238000,antibiotic efflux,antibiotic target alteration,0,1
gb|ANZ79240.1|ARO:3004035|tetA(60),27.397000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAG16656.1|ARO:3002705|floR,42.308000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAG05913.1|ARO:3004072|OpmB,24.107000,antibiotic efflux,antibiotic target alteration,0,0
gb|ALH22601.1|ARO:3000620|adeL,30.612000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAG08375.1|ARO:3004038|Paer_emrE,37.500000,antibiotic efflux,antibiotic target alteration,0,0
