query_id,pident,true_label,pred_label_embedding,embedding_correct,blast_correct
gb|AAL19308.1|ARO:3000504|golS,43.333000,antibiotic efflux,antibiotic efflux,1,1
gb|BAE78082.1|ARO:3003550|mdtP,28.416000,antibiotic efflux,antibiotic efflux,1,1
gb|BAE77778.1|ARO:3000508|gadX,31.579000,antibiotic efflux,antibiotic efflux,1,1
gb|AAC76539.1|ARO:3000796|mdtF,62.633000,antibiotic efflux,antibiotic efflux,1,1
gb|BAB38260.1|ARO:3000830|cpxA,27.653000,antibiotic efflux,antibiotic efflux,1,0
gb|CAJ77856.1|ARO:3000777|adeF,67.300000,antibiotic efflux,antibiotic efflux,1,1
gb|BAB41874.1|ARO:3000815|mgrA,23.881000,antibiotic efflux,antibiotic target alteration,0,1
gb|ACD35503.1|ARO:3000572|tet(42),33.079000,antibiotic efflux,antibiotic efflux,1,1
gb|AEM62948.1|ARO:3003196|tet(45),76.586000,antibiotic efflux,antibiotic efflux,1,1
gb|AAA71915.1|ARO:3000173|tet(E),54.000000,antibiotic efflux,antibiotic efflux,1,1
gb|CAA42594.1|ARO:3002690|Sliv_cmlR,40.496000,antibiotic efflux,antibiotic efflux,1,0
gb|ABD30512.1|ARO:3000839|arlS,23.529000,antibiotic efflux,antibiotic target alteration,0,0
gb|ADM92606.1|ARO:3000549|adeS,30.986000,antibiotic efflux,antibiotic efflux,1,0
gb|AAL20862.1|ARO:3000826|sdiA,27.660000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAM77075.1|ARO:3002695|cmlA5,96.659000,antibiotic efflux,antibiotic efflux,1,1
gb|CAC14594.1|ARO:3003055|smeD,53.109000,antibiotic efflux,antibiotic efflux,1,1
gb|AAG05883.1|ARO:3000805|OprN,35.193000,antibiotic efflux,antibiotic efflux,1,1
gb|CAA78046.1|ARO:3002701|Rfas_cmr,42.338000,antibiotic efflux,antibiotic efflux,1,0
gb|BAA34299.1|ARO:3003034|mexX,55.325000,antibiotic efflux,antibiotic efflux,1,1
gb|ALX99516.1|ARO:3003811|adeC,40.260000,antibiotic efflux,antibiotic efflux,1,1
gb|AAD51347.1|ARO:3003067|smeS,27.174000,antibiotic efflux,antibiotic efflux,1,0
gb|AAA99504.1|ARO:3002987|bcrA,33.333000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAB13167.1|ARO:3003064|ykkD,30.556000,antibiotic efflux,antibiotic target alteration,0,1
gb|BAJ09383.1|ARO:3003046|qacA,35.579000,antibiotic efflux,antibiotic efflux,1,1
gb|AAC74149.2|ARO:3001216|mdtH,19.006000,antibiotic efflux,antibiotic efflux,1,1
gb|AAU95768.1|ARO:3000026|mepA,26.292000,antibiotic efflux,antibiotic efflux,1,1
gb|AAC75135.2|ARO:3000792|mdtA,47.507000,antibiotic efflux,antibiotic efflux,1,1
gb|AAL19306.1|ARO:3000789|mdsA,51.940000,antibiotic efflux,antibiotic efflux,1,1
gb|CAA64891.1|ARO:3000812|mtrE,41.365000,antibiotic efflux,antibiotic efflux,1,1
