sample_id,arg_total,mge_abundance,entropy
SRR27827413,285,112,3.61
SRR27827408,272,107,3.74
SRR27827406,263,104,3.89
SRR27827404,251,99,3.98
SRR27827412,158,68,3.85
SRR27827407,151,65,3.97
SRR27827405,147,61,4.08
SRR27827403,140,59,4.17
SRR11803505,91,43,2.87
SRR11803504,88,41,2.91
SRR11803502,85,39,2.85
SRR11803501,87,41,2.94
SRR11803500,86,40,2.88
SRR11803499,84,39,2.92
SRR11803498,78,36,2.82
SRR11803497,83,38,2.90
SRR11803496,82,38,2.88
SRR11803495,81,37,2.85
SRR11803503,83,39,2.91
SRR11811727,,,4.23
SRR11811728,,,4.31
SRR11811733,,,4.18
SRR11811738,,,4.41
