query_id,db_id,pident,identity_bin,true_label,pred_label_blast,blast_correct
gb|AAL19308.1|ARO:3000504|golS,gb|CAD09250.1|ARO:3003382|Sent_soxR_MULT,30.556,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAE78082.1|ARO:3003550|mdtP,gb|AJP09758.1|ARO:3004681|Cdif_rpoC_VAN,23.529,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|BAE77778.1|ARO:3000508|gadX,gb|AAL23089.1|ARO:3003383|Sent_soxS_MULT,28.125,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC76539.1|ARO:3000796|mdtF,gb|EJC52487.1|ARO:3007057|Hpyl_pbp3_AMX,25.758,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|BAB38260.1|ARO:3000830|cpxA,gb|CAG39047.1|ARO:3003794|Saur_walK_DAP,27.66,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|CAJ77856.1|ARO:3000777|adeF,gb|NP_218311.1|ARO:3003453|Mtub_embA_EMB,27.273,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|BAB41874.1|ARO:3000815|mgrA,gb|AAW89918.1|ARO:3003929|Ngon_parC_FLO,26.923,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|ACD35503.1|ARO:3000572|tet(42),gb|CAA42550.1|ARO:3003028|lmrA,28.313,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AEM62948.1|ARO:3003196|tet(45),gb|CAA42550.1|ARO:3003028|lmrA,27.273,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAA71915.1|ARO:3000173|tet(E),gb|NP_214705.1|ARO:3004981|Mtub_Rv0191_PZA,32.812,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|CAA42594.1|ARO:3002690|Sliv_cmlR,gb|NP_214705.1|ARO:3004981|Mtub_Rv0191_PZA,27.557,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|ABD30512.1|ARO:3000839|arlS,gb|CAG39047.1|ARO:3003794|Saur_walK_DAP,35.484,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|ADM92606.1|ARO:3000549|adeS,gb|CAG39047.1|ARO:3003794|Saur_walK_DAP,28.0,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|AAL20862.1|ARO:3000826|sdiA,gb|AFK58562.1|ARO:3003078|Efac_liaR_DAP,40.984,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAM77075.1|ARO:3002695|cmlA5,gb|AQA08261.1|ARO:3004097|Smit_CdsA_DAP,28.571,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|CAC14594.1|ARO:3003055|smeD,gb|QIH19826.1|ARO:3005004|Ngon_mtrC_AZM,43.49,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAG05883.1|ARO:3000805|OprN,gb|WP_001182024.1|ARO:3007053|Hpyl_gyrB_FLO,31.395,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|CAA78046.1|ARO:3002701|Rfas_cmr,gb|NP_214705.1|ARO:3004981|Mtub_Rv0191_PZA,27.507,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|BAA34299.1|ARO:3003034|mexX,gb|QIH19826.1|ARO:3005004|Ngon_mtrC_AZM,37.015,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ALX99516.1|ARO:3003811|adeC,gb|NP_217051.1|ARO:3007692|Mtub_Rv2535_BDQ,23.973,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|AAD51347.1|ARO:3003067|smeS,gb|CAG39047.1|ARO:3003794|Saur_walK_DAP,32.159,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|AAA99504.1|ARO:3002987|bcrA,gb|WP_323056190.1|ARO:3007843|VRA-F,25.871,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAB13167.1|ARO:3003064|ykkD,gb|CAG39240.1|ARO:3003902|Saur_UhpT_FOF,34.211,lt_40,antibiotic efflux,antibiotic target alteration,0
gb|BAJ09383.1|ARO:3003046|qacA,gb|CAA42550.1|ARO:3003028|lmrA,27.529,lt_40,antibiotic efflux,antibiotic efflux,1
