db_id,label
gb|AAG07594.1|ARO:3000808|MexI,antibiotic efflux
gb|AAC75271.1|ARO:3003952|YojI,antibiotic efflux
gb|APB03215.1|ARO:3003981|tetB(58),antibiotic efflux
gb|AAK37618.1|ARO:3005008|TxR,antibiotic efflux
gb|AAB64408.1|ARO:3007050|mreA,antibiotic efflux
gb|QQA64076.1|ARO:3007049|mef(J),antibiotic efflux
gb|QQM99829.1|ARO:3007047|mef(H),antibiotic efflux
gb|CYF42523.1|ARO:3004047|kdpD,antibiotic efflux
gb|VWQ00850.1|ARO:3003843|leuO,antibiotic efflux
gb|QIQ10744.1|ARO:3007492|tet(62),antibiotic efflux
gb|QJR33972.1|ARO:3007493|tet(63),antibiotic efflux
gb|WP_124470450.1|ARO:3007494|tet(64),antibiotic efflux
gb|NP_706356.2|ARO:3007509|Sfle_acrA,antibiotic efflux
gb|BAL43360.1|ARO:3003745|mef(C),antibiotic efflux
gb|AAK99775.1|ARO:3000614|mef(E),antibiotic efflux
gb|QNR09091.1|ARO:3007044|mef(F),antibiotic efflux
gb|NP_217372.1|ARO:3007659|Rv2856,antibiotic efflux
gb|NP_216393.1|ARO:3007662|Rv1877,antibiotic efflux
gb|AMD83542.1|ARO:3007669|aadT,antibiotic efflux
gb|WPF67354.1|ARO:3007838|tet(65),antibiotic efflux
gb|ABM54869.1|ARO:3001025|TEM-159,antibiotic inactivation
gb|AAD12233.1|ARO:3001417|OXA-22,antibiotic inactivation
gb|AAV28215.2|ARO:3001902|CTX-M-40,antibiotic inactivation
gb|AEZ49849.1|ARO:3002079|CMY-66,antibiotic inactivation
gb|AGZ20205.1|ARO:3001382|TEM-205,antibiotic inactivation
gb|AIT76096.1|ARO:3001851|ACT-31,antibiotic inactivation
gb|ADE08533.1|ARO:3001176|SHV-129,antibiotic inactivation
gb|ADO17948.1|ARO:3001957|CTX-M-98,antibiotic inactivation
gb|AAB36568.1|ARO:3002700|cmlv,antibiotic inactivation
gb|AIT76093.1|ARO:3002127|CMY-116,antibiotic inactivation
gb|CAA27276.1|ARO:3002661|APH(7'')-Ia,antibiotic inactivation
gb|CAQ53840.1|ARO:3000853|AIM-1,antibiotic inactivation
gb|AAV97954.1|ARO:3001911|CTX-M-49,antibiotic inactivation
gb|AHA58207.1|ARO:3001390|TEM-213,antibiotic inactivation
gb|CAI30651.2|ARO:3001117|SHV-62,antibiotic inactivation
gb|AAP15294.1|ARO:3002675|catB2,antibiotic inactivation
gb|ABV57756.3|ARO:3001942|CTX-M-81,antibiotic inactivation
gb|ACQ82808.1|ARO:3002500|PDC-3,antibiotic inactivation
