db_id,label
gb|ABV18113.1|ARO:3001329|mdtG,antibiotic efflux
gb|BAA11236.1|ARO:3000206|emrK,antibiotic efflux
gb|BAC11911.1|ARO:3003551|emeA,antibiotic efflux
gb|AAX14802.1|ARO:3000781|adeJ,antibiotic efflux
gb|CAC14596.1|ARO:3003057|smeF,antibiotic efflux
gb|BAA07390.1|ARO:3002893|tcr3,antibiotic efflux
gb|CAC80727.1|ARO:3000476|tet(31),antibiotic efflux
gb|AAC76296.1|ARO:3000656|AcrS,antibiotic efflux
gb|ABS43151.1|ARO:3000784|cmeB,antibiotic efflux
gb|BAO79432.1|ARO:3000785|cmeC,antibiotic efflux
gb|AAB41956.1|ARO:3000800|MexC,antibiotic efflux
gb|AAB41958.1|ARO:3000802|OprJ,antibiotic efflux
gb|AAC75136.1|ARO:3000793|mdtB,antibiotic efflux
gb|BAB56495.1|ARO:3000746|mepR,antibiotic efflux
gb|AAL14440.1|ARO:3000775|adeB,antibiotic efflux
gb|BAE77933.1|ARO:3000518|CRP,antibiotic efflux
gb|CAC14595.1|ARO:3003056|smeE,antibiotic efflux
gb|CAD70268.1|ARO:3002704|fexA,antibiotic efflux
gb|AAA99505.1|ARO:3002988|bcrB,antibiotic efflux
gb|AAD04032.1|ARO:3002892|otr(B),antibiotic efflux
gb|CAM12479.1|ARO:3000567|tet(40),antibiotic efflux
gb|AAK97755.1|ARO:3000167|tet(C),antibiotic efflux
gb|AAD25538.1|ARO:3000174|tet(G),antibiotic efflux
gb|AAF27726.1|ARO:3002694|cmlA4,antibiotic efflux
gb|BAB36671.1|ARO:3000832|evgA,antibiotic efflux
gb|AAA26057.1|ARO:3002693|cmlA1,antibiotic efflux
gb|CAL30186.1|ARO:3002699|cmlB1,antibiotic efflux
gb|AAC73564.1|ARO:3000216|acrB,antibiotic efflux
gb|CAA75663.1|ARO:3000175|tet(H),antibiotic efflux
gb|AAW66497.1|ARO:3000566|tet(39),antibiotic efflux
gb|AAG05881.1|ARO:3000803|MexE,antibiotic efflux
gb|AAD12753.1|ARO:3000177|tet(J),antibiotic efflux
gb|AAB84282.1|ARO:3000181|tet(V),antibiotic efflux
gb|CCQ22388.1|ARO:3000421|norB,antibiotic efflux
gb|AAL19304.1|ARO:3000791|mdsC,antibiotic efflux
gb|ABS43901.1|ARO:3000783|cmeA,antibiotic efflux
gb|AAC77293.1|ARO:3001214|mdtM,antibiotic efflux
gb|AAF67494.2|ARO:3002522|novA,antibiotic efflux
gb|CAJ77857.1|ARO:3000778|adeG,antibiotic efflux
gb|CAL34518.1|ARO:3000526|cmeR,antibiotic efflux
gb|BAB35162.1|ARO:3000676|H-NS,antibiotic efflux
gb|AAB58161.1|ARO:3003010|ceoB,antibiotic efflux
gb|AAA22277.1|ARO:3003007|bmr,antibiotic efflux
gb|AAC60781.1|ARO:3003048|rosA,antibiotic efflux
gb|AAD51346.1|ARO:3003053|smeC,antibiotic efflux
gb|AAL75563.1|ARO:3000168|tet(D),antibiotic efflux
gb|ACJ63262.1|ARO:3003107|mef(B),antibiotic efflux
gb|AEZ36150.1|ARO:3000448|QepA1,antibiotic efflux
gb|AAL14439.1|ARO:3000774|adeA,antibiotic efflux
gb|AAC75137.1|ARO:3000794|mdtC,antibiotic efflux
gb|AAC75429.1|ARO:3000833|evgS,antibiotic efflux
gb|AAC75731.1|ARO:3000516|emrR,antibiotic efflux
gb|AAF42063.1|ARO:3000810|mtrC,antibiotic efflux
gb|AAG03380.1|ARO:3002703|cmx,antibiotic efflux
gb|BAD89844.2|ARO:3000753|abeM,antibiotic efflux
gb|AAL19305.1|ARO:3000790|mdsB,antibiotic efflux
gb|ATC67679.1|ARO:3000838|arlR,antibiotic efflux
gb|BAA16344.1|ARO:3000491|acrD,antibiotic efflux
gb|AAK52606.1|ARO:3002696|cmlA6,antibiotic efflux
gb|BAE78084.1|ARO:3003548|mdtN,antibiotic efflux
gb|AAB28795.1|ARO:3000178|tet(K),antibiotic efflux
gb|AFK80333.1|ARO:3001313|facT,antibiotic efflux
gb|ACJ41739.1|ARO:3000780|adeI,antibiotic efflux
gb|AAG07593.1|ARO:3000807|MexH,antibiotic efflux
gb|AAC76298.1|ARO:3000502|AcrF,antibiotic efflux
gb|AAC76297.1|ARO:3000499|AcrE,antibiotic efflux
gb|AAD51344.1|ARO:3003051|smeA,antibiotic efflux
gb|CAH35803.1|ARO:3002982|amrA,antibiotic efflux
gb|AAD51348.1|ARO:3003066|smeR,antibiotic efflux
gb|AAS68233.1|ARO:3000391|norA,antibiotic efflux
gb|AAD44693.1|ARO:3000816|mtrA,antibiotic efflux
gb|AAB41957.1|ARO:3000801|MexD,antibiotic efflux
gb|AAP93922.1|ARO:3000569|tet(41),antibiotic efflux
gb|AYV52072.1|ARO:3002882|lmrD,antibiotic efflux
gb|BAM10414.1|ARO:3003039|OprA,antibiotic efflux
gb|AAX14803.1|ARO:3000782|adeK,antibiotic efflux
gb|AAV85981.1|ARO:3000533|macA,antibiotic efflux
gb|AAB58160.1|ARO:3003009|ceoA,antibiotic efflux
gb|CAA03986.1|ARO:3000343|tap,antibiotic efflux
gb|AAC45805.1|ARO:3002702|cmrA,antibiotic efflux
gb|BAA16547.1|ARO:3000027|emrA,antibiotic efflux
gb|ACS83748.1|ARO:3000573|tet(43),antibiotic efflux
gb|BAA34300.1|ARO:3003033|mexY,antibiotic efflux
gb|AML99881.1|ARO:3001327|MdtK,antibiotic efflux
gb|CAB13166.1|ARO:3003063|ykkC,antibiotic efflux
gb|AAC75733.1|ARO:3000074|emrB,antibiotic efflux
gb|AGV28567.1|ARO:3000559|adeN,antibiotic efflux
gb|BAE77781.1|ARO:3000795|mdtE,antibiotic efflux
gb|AAF42062.1|ARO:3000811|mtrD,antibiotic efflux
gb|AAA74437.1|ARO:3000378|MexB,antibiotic efflux
gb|AAD09860.1|ARO:3000561|tet(30),antibiotic efflux
gb|AAV80464.1|ARO:3000565|tet(38),antibiotic efflux
gb|AAN06707.1|ARO:3000165|tet(A),antibiotic efflux
gb|AAD25063.1|ARO:3000183|tet(Z),antibiotic efflux
gb|AAD51345.1|ARO:3003052|smeB,antibiotic efflux
gb|AAC36944.1|ARO:3003006|blt,antibiotic efflux
gb|BAE78083.1|ARO:3003549|mdtO,antibiotic efflux
gb|BAA07072.1|ARO:3002812|pp-flo,antibiotic efflux
gb|AAK76137.1|ARO:3000024|patA,antibiotic efflux
gb|AAK76136.1|ARO:3000025|patB,antibiotic efflux
gb|AAC43969.1|ARO:3003037|opcM,antibiotic efflux
gb|AAK99679.1|ARO:3000822|pmrA,antibiotic efflux
gb|CAD12227.2|ARO:3000478|tet(33),antibiotic efflux
gb|AAK37619.1|ARO:3000481|tet(35),antibiotic efflux
gb|AAR96051.1|ARO:3002894|otr(C),antibiotic efflux
gb|AAG03546.1|ARO:3003679|TriA,antibiotic efflux
gb|AAG03547.1|ARO:3003680|TriB,antibiotic efflux
gb|AAG03548.1|ARO:3003681|TriC,antibiotic efflux
gb|AAG08359.1|ARO:3003682|OpmH,antibiotic efflux
gb|BAE06007.1|ARO:3003698|mexP,antibiotic efflux
gb|BAE06008.1|ARO:3003699|mexQ,antibiotic efflux
