row_index,label
0,antibiotic efflux
1,antibiotic efflux
2,antibiotic efflux
3,antibiotic efflux
4,antibiotic efflux
5,antibiotic efflux
6,antibiotic efflux
7,antibiotic efflux
8,antibiotic efflux
9,antibiotic efflux
10,antibiotic efflux
11,antibiotic efflux
12,antibiotic efflux
13,antibiotic efflux
14,antibiotic efflux
15,antibiotic efflux
16,antibiotic efflux
17,antibiotic efflux
18,antibiotic efflux
19,antibiotic efflux
20,antibiotic efflux
21,antibiotic efflux
22,antibiotic efflux
23,antibiotic efflux
24,antibiotic efflux
25,antibiotic efflux
26,antibiotic efflux
27,antibiotic efflux
28,antibiotic efflux
29,antibiotic efflux
30,antibiotic efflux
31,antibiotic efflux
32,antibiotic efflux
33,antibiotic efflux
34,antibiotic efflux
35,antibiotic efflux
36,antibiotic efflux
37,antibiotic efflux
38,antibiotic efflux
39,antibiotic efflux
40,antibiotic efflux
41,antibiotic efflux
42,antibiotic efflux
43,antibiotic efflux
44,antibiotic efflux
45,antibiotic efflux
46,antibiotic efflux
47,antibiotic efflux
48,antibiotic efflux
49,antibiotic efflux
50,antibiotic efflux
51,antibiotic efflux
52,antibiotic efflux
53,antibiotic efflux
54,antibiotic efflux
55,antibiotic efflux
56,antibiotic efflux
57,antibiotic efflux
58,antibiotic efflux
59,antibiotic efflux
60,antibiotic efflux
61,antibiotic efflux
62,antibiotic efflux
63,antibiotic efflux
64,antibiotic efflux
65,antibiotic efflux
66,antibiotic efflux
67,antibiotic efflux
68,antibiotic efflux
69,antibiotic efflux
70,antibiotic efflux
71,antibiotic efflux
72,antibiotic efflux
73,antibiotic efflux
74,antibiotic efflux
75,antibiotic efflux
76,antibiotic efflux
77,antibiotic efflux
78,antibiotic efflux
79,antibiotic efflux
80,antibiotic efflux
81,antibiotic efflux
82,antibiotic efflux
83,antibiotic efflux
84,antibiotic efflux
85,antibiotic efflux
86,antibiotic efflux
87,antibiotic efflux
88,antibiotic efflux
89,antibiotic efflux
90,antibiotic efflux
91,antibiotic efflux
92,antibiotic efflux
93,antibiotic efflux
94,antibiotic efflux
95,antibiotic efflux
96,antibiotic efflux
97,antibiotic efflux
98,antibiotic efflux
99,antibiotic efflux
100,antibiotic efflux
101,antibiotic efflux
102,antibiotic efflux
103,antibiotic efflux
104,antibiotic efflux
105,antibiotic efflux
106,antibiotic efflux
107,antibiotic efflux
108,antibiotic efflux
109,antibiotic efflux
110,antibiotic efflux
111,antibiotic efflux
112,antibiotic efflux
113,antibiotic efflux
114,antibiotic efflux
115,antibiotic efflux
116,antibiotic efflux
117,antibiotic efflux
118,antibiotic efflux
119,antibiotic efflux
120,antibiotic efflux
121,antibiotic efflux
122,antibiotic efflux
123,antibiotic efflux
124,antibiotic efflux
125,antibiotic efflux
126,antibiotic efflux
127,antibiotic efflux
128,antibiotic efflux
129,antibiotic efflux
130,antibiotic efflux
131,antibiotic efflux
132,antibiotic efflux
133,antibiotic efflux
134,antibiotic efflux
135,antibiotic efflux
136,antibiotic efflux
137,antibiotic efflux
138,antibiotic efflux
139,antibiotic efflux
140,antibiotic efflux
141,antibiotic efflux
142,antibiotic efflux
143,antibiotic efflux
144,antibiotic efflux
145,antibiotic efflux
146,antibiotic efflux
147,antibiotic efflux
148,antibiotic efflux
149,antibiotic efflux
150,antibiotic efflux
151,antibiotic efflux
152,antibiotic efflux
153,antibiotic efflux
154,antibiotic efflux
155,antibiotic efflux
156,antibiotic efflux
157,antibiotic efflux
158,antibiotic efflux
159,antibiotic efflux
160,antibiotic efflux
161,antibiotic efflux
162,antibiotic efflux
163,antibiotic efflux
164,antibiotic efflux
165,antibiotic efflux
166,antibiotic efflux
167,antibiotic efflux
168,antibiotic efflux
169,antibiotic efflux
170,antibiotic efflux
171,antibiotic efflux
172,antibiotic efflux
