query_id,pident,true_label,pred_label_embedding,embedding_correct,blast_correct
gb|AAL19308.1|ARO:3000504|golS,30.556000,antibiotic efflux,antibiotic target replacement,0,1
gb|BAE78082.1|ARO:3003550|mdtP,23.529000,antibiotic efflux,antibiotic inactivation,0,0
gb|BAE77778.1|ARO:3000508|gadX,28.125000,antibiotic efflux,antibiotic inactivation,0,1
gb|AAC76539.1|ARO:3000796|mdtF,25.758000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAB38260.1|ARO:3000830|cpxA,27.660000,antibiotic efflux,antibiotic inactivation,0,0
gb|CAJ77856.1|ARO:3000777|adeF,27.273000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAB41874.1|ARO:3000815|mgrA,26.923000,antibiotic efflux,antibiotic target replacement,0,0
gb|ACD35503.1|ARO:3000572|tet(42),28.313000,antibiotic efflux,antibiotic inactivation,0,1
gb|AEM62948.1|ARO:3003196|tet(45),27.273000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAA71915.1|ARO:3000173|tet(E),32.812000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAA42594.1|ARO:3002690|Sliv_cmlR,27.557000,antibiotic efflux,antibiotic inactivation,0,0
gb|ABD30512.1|ARO:3000839|arlS,35.484000,antibiotic efflux,antibiotic inactivation,0,0
gb|ADM92606.1|ARO:3000549|adeS,28.000000,antibiotic efflux,antibiotic inactivation,0,0
gb|AAL20862.1|ARO:3000826|sdiA,40.984000,antibiotic efflux,antibiotic target replacement,0,1
gb|AAM77075.1|ARO:3002695|cmlA5,28.571000,antibiotic efflux,antibiotic target replacement,0,0
gb|CAC14594.1|ARO:3003055|smeD,43.490000,antibiotic efflux,antibiotic target replacement,0,1
gb|AAG05883.1|ARO:3000805|OprN,31.395000,antibiotic efflux,antibiotic inactivation,0,0
gb|CAA78046.1|ARO:3002701|Rfas_cmr,27.507000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAA34299.1|ARO:3003034|mexX,37.015000,antibiotic efflux,antibiotic inactivation,0,1
gb|ALX99516.1|ARO:3003811|adeC,23.973000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAD51347.1|ARO:3003067|smeS,32.159000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAA99504.1|ARO:3002987|bcrA,25.871000,antibiotic efflux,antibiotic target replacement,0,1
gb|CAB13167.1|ARO:3003064|ykkD,34.211000,antibiotic efflux,antibiotic inactivation,0,0
gb|BAJ09383.1|ARO:3003046|qacA,27.529000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC74149.2|ARO:3001216|mdtH,26.190000,antibiotic efflux,antibiotic inactivation,0,0
gb|AAU95768.1|ARO:3000026|mepA,21.277000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAC75135.2|ARO:3000792|mdtA,32.448000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAL19306.1|ARO:3000789|mdsA,31.025000,antibiotic efflux,antibiotic inactivation,0,1
gb|CAA64891.1|ARO:3000812|mtrE,30.769000,antibiotic efflux,antibiotic target alteration,0,0
gb|ADM92605.1|ARO:3000553|adeR,34.211000,antibiotic efflux,antibiotic target replacement,0,1
gb|CAH35802.1|ARO:3002983|amrB,37.255000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAG03814.1|ARO:3000377|MexA,42.257000,antibiotic efflux,antibiotic inactivation,0,1
gb|BAC67143.1|ARO:3000166|tet(B),29.688000,antibiotic efflux,antibiotic inactivation,0,0
gb|AAC72341.1|ARO:3000182|tet(Y),38.636000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAD22144.1|ARO:3002698|cmlB,27.692000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAV85982.1|ARO:3000535|macB,41.964000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAG07595.1|ARO:3000809|OpmD,34.483000,antibiotic efflux,antibiotic inactivation,0,0
gb|AAC60780.1|ARO:3003049|rosB,37.500000,antibiotic efflux,antibiotic target replacement,0,0
gb|AAA20116.1|ARO:3000180|tetA(P),30.435000,antibiotic efflux,antibiotic inactivation,0,0
gb|BAA11237.1|ARO:3000254|emrY,27.457000,antibiotic efflux,antibiotic target replacement,0,1
gb|CAJ77855.1|ARO:3000779|adeH,28.736000,antibiotic efflux,antibiotic inactivation,0,0
gb|AAQ10694.1|ARO:3003047|qacB,27.316000,antibiotic efflux,antibiotic target alteration,0,1
gb|KIX81495.1|ARO:3002813|lmrB,23.096000,antibiotic efflux,antibiotic target alteration,0,1
gb|ACJ59254.1|ARO:3000768|abeS,57.143000,antibiotic efflux,antibiotic target replacement,0,0
gb|ABV18113.1|ARO:3001329|mdtG,40.000000,antibiotic efflux,antibiotic target replacement,0,0
gb|BAA11236.1|ARO:3000206|emrK,21.845000,antibiotic efflux,antibiotic target replacement,0,1
gb|BAC11911.1|ARO:3003551|emeA,29.577000,antibiotic efflux,antibiotic target replacement,0,0
gb|AAX14802.1|ARO:3000781|adeJ,25.664000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAC14596.1|ARO:3003057|smeF,21.795000,antibiotic efflux,antibiotic inactivation,0,0
gb|BAA07390.1|ARO:3002893|tcr3,28.758000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAC80727.1|ARO:3000476|tet(31),38.095000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC76296.1|ARO:3000656|AcrS,37.681000,antibiotic efflux,antibiotic target replacement,0,1
gb|ABS43151.1|ARO:3000784|cmeB,28.889000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAO79432.1|ARO:3000785|cmeC,34.884000,antibiotic efflux,antibiotic inactivation,0,0
gb|AAB41956.1|ARO:3000800|MexC,42.045000,antibiotic efflux,antibiotic inactivation,0,1
gb|AAB41958.1|ARO:3000802|OprJ,42.105000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAC75136.1|ARO:3000793|mdtB,47.059000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAB56495.1|ARO:3000746|mepR,28.205000,antibiotic efflux,antibiotic target replacement,0,0
gb|AAL14440.1|ARO:3000775|adeB,37.931000,antibiotic efflux,antibiotic target alteration,0,0
gb|BAE77933.1|ARO:3000518|CRP,23.490000,antibiotic efflux,antibiotic target replacement,0,0
gb|CAC14595.1|ARO:3003056|smeE,27.500000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAD70268.1|ARO:3002704|fexA,27.586000,antibiotic efflux,antibiotic inactivation,0,1
gb|AAA99505.1|ARO:3002988|bcrB,42.105000,antibiotic efflux,antibiotic inactivation,0,0
gb|AAD04032.1|ARO:3002892|otr(B),28.436000,antibiotic efflux,antibiotic target alteration,0,1
gb|CAM12479.1|ARO:3000567|tet(40),29.448000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAK97755.1|ARO:3000167|tet(C),27.368000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAD25538.1|ARO:3000174|tet(G),35.938000,antibiotic efflux,antibiotic target replacement,0,0
gb|AAF27726.1|ARO:3002694|cmlA4,27.473000,antibiotic efflux,antibiotic target replacement,0,0
gb|BAB36671.1|ARO:3000832|evgA,26.601000,antibiotic efflux,antibiotic inactivation,0,1
gb|AAA26057.1|ARO:3002693|cmlA1,27.473000,antibiotic efflux,antibiotic target replacement,0,0
gb|CAL30186.1|ARO:3002699|cmlB1,26.667000,antibiotic efflux,antibiotic target alteration,0,1
gb|AAC73564.1|ARO:3000216|acrB,24.752000,antibiotic efflux,antibiotic target alteration,0,0
gb|CAA75663.1|ARO:3000175|tet(H),28.571000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAW66497.1|ARO:3000566|tet(39),31.250000,antibiotic efflux,antibiotic target replacement,0,0
gb|AAG05881.1|ARO:3000803|MexE,33.618000,antibiotic efflux,antibiotic inactivation,0,1
gb|AAD12753.1|ARO:3000177|tet(J),26.437000,antibiotic efflux,antibiotic target alteration,0,0
gb|AAB84282.1|ARO:3000181|tet(V),25.322000,antibiotic efflux,antibiotic target alteration,0,0
