query_id,db_id,pident,identity_bin,true_label,pred_label_blast,blast_correct
gb|NP_253005.1|ARO:3004069|MvaT,gb|BCT36862.1|ARO:3007825|GES-47,23.881,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|WP_001985623.1|ARO:3004578|Abau_AbuO,gb|AAO42740.1|ARO:3007123|tet(O/W/O),32.075,lt_40,antibiotic efflux,antibiotic target protection,0
gb|VWQ04090.1|ARO:3005042|mlaD,gb|WP_009901927.1|ARO:3006904|CDD-1,32.5,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|VWQ04088.1|ARO:3005041|mlaF,gb|AAC75271.1|ARO:3003952|YojI,31.797,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAL19308.1|ARO:3000504|golS,gb|AVX51087.1|ARO:3004559|CAM-1,29.73,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|BAE78082.1|ARO:3003550|mdtP,gb|EPF73263.1|ARO:3004086|APH(3')-VIIIb,23.729,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAC76539.1|ARO:3000796|mdtF,gb|AAG07594.1|ARO:3000808|MexI,30.431,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAB38260.1|ARO:3000830|cpxA,gb|CYF42523.1|ARO:3004047|kdpD,24.779,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAJ77856.1|ARO:3000777|adeF,gb|AAG07594.1|ARO:3000808|MexI,33.687,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ACD35503.1|ARO:3000572|tet(42),gb|QIQ10744.1|ARO:3007492|tet(62),31.463,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AEM62948.1|ARO:3003196|tet(45),gb|QJR33972.1|ARO:3007493|tet(63),60.987,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAA71915.1|ARO:3000173|tet(E),gb|QIQ10744.1|ARO:3007492|tet(62),55.754,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|CAA42594.1|ARO:3002690|Sliv_cmlR,gb|NP_216393.1|ARO:3007662|Rv1877,41.304,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|ABD30512.1|ARO:3000839|arlS,gb|CYF42523.1|ARO:3004047|kdpD,26.033,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ADM92606.1|ARO:3000549|adeS,gb|CYF42523.1|ARO:3004047|kdpD,24.67,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAL20862.1|ARO:3000826|sdiA,gb|WP_007879679.1|ARO:3006105|OXA-919,22.807,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAM77075.1|ARO:3002695|cmlA5,gb|NP_216393.1|ARO:3007662|Rv1877,31.544,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAC14594.1|ARO:3003055|smeD,gb|NP_706356.2|ARO:3007509|Sfle_acrA,50.781,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|CAA78046.1|ARO:3002701|Rfas_cmr,gb|WPF67354.1|ARO:3007838|tet(65),34.483,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAA34299.1|ARO:3003034|mexX,gb|NP_706356.2|ARO:3007509|Sfle_acrA,37.197,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ALX99516.1|ARO:3003811|adeC,gb|WP_136512109.1|ARO:3005514|VIM-66,28.767,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAD51347.1|ARO:3003067|smeS,gb|CYF42523.1|ARO:3004047|kdpD,22.477,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAA99504.1|ARO:3002987|bcrA,gb|AAC75271.1|ARO:3003952|YojI,27.451,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAJ09383.1|ARO:3003046|qacA,gb|AMD83542.1|ARO:3007669|aadT,34.638,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC74149.2|ARO:3001216|mdtH,gb|QNR09091.1|ARO:3007044|mef(F),33.75,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC75135.2|ARO:3000792|mdtA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,29.595,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAL19306.1|ARO:3000789|mdsA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,31.519,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ADM92605.1|ARO:3000553|adeR,gb|WP_128268281.1|ARO:3006981|RSA2-1,34.286,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|CAH35802.1|ARO:3002983|amrB,gb|AAG07594.1|ARO:3000808|MexI,31.238,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAG03814.1|ARO:3000377|MexA,gb|NP_706356.2|ARO:3007509|Sfle_acrA,57.682,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|BAC67143.1|ARO:3000166|tet(B),gb|QIQ10744.1|ARO:3007492|tet(62),48.677,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAC72341.1|ARO:3000182|tet(Y),gb|QIQ10744.1|ARO:3007492|tet(62),57.841,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAD22144.1|ARO:3002698|cmlB,gb|QJR33972.1|ARO:3007493|tet(63),20.988,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAV85982.1|ARO:3000535|macB,gb|AAC75271.1|ARO:3003952|YojI,28.125,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAC60780.1|ARO:3003049|rosB,gb|AJP77085.1|ARO:3003717|ESP-1,37.5,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAA20116.1|ARO:3000180|tetA(P),gb|WP_124470450.1|ARO:3007494|tet(64),23.704,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAA11237.1|ARO:3000254|emrY,gb|AMD83542.1|ARO:3007669|aadT,27.404,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAJ77855.1|ARO:3000779|adeH,gb|RHO92765.1|ARO:3005023|cfrE,48.0,40_to_70,antibiotic efflux,antibiotic target alteration,0
gb|AAQ10694.1|ARO:3003047|qacB,gb|AMD83542.1|ARO:3007669|aadT,34.638,lt_40,antibiotic efflux,antibiotic efflux,1
gb|KIX81495.1|ARO:3002813|lmrB,gb|AMD83542.1|ARO:3007669|aadT,27.103,lt_40,antibiotic efflux,antibiotic efflux,1
gb|ACJ59254.1|ARO:3000768|abeS,gb|WP_068981642.1|ARO:3005757|OXA-527,42.308,40_to_70,antibiotic efflux,antibiotic inactivation,0
gb|ABV18113.1|ARO:3001329|mdtG,gb|QIQ10744.1|ARO:3007492|tet(62),26.158,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAC11911.1|ARO:3003551|emeA,gb|WPF67354.1|ARO:3007838|tet(65),27.322,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAX14802.1|ARO:3000781|adeJ,gb|AAG07594.1|ARO:3000808|MexI,32.146,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAA07390.1|ARO:3002893|tcr3,gb|NP_216393.1|ARO:3007662|Rv1877,32.665,lt_40,antibiotic efflux,antibiotic efflux,1
gb|CAC80727.1|ARO:3000476|tet(31),gb|QIQ10744.1|ARO:3007492|tet(62),47.258,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|ABS43151.1|ARO:3000784|cmeB,gb|AAG07594.1|ARO:3000808|MexI,32.061,lt_40,antibiotic efflux,antibiotic efflux,1
gb|AAB41956.1|ARO:3000800|MexC,gb|NP_706356.2|ARO:3007509|Sfle_acrA,46.797,40_to_70,antibiotic efflux,antibiotic efflux,1
gb|AAB41958.1|ARO:3000802|OprJ,gb|WP_063860233.1|ARO:3006875|EC-14,31.373,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAC75136.1|ARO:3000793|mdtB,gb|AAG07594.1|ARO:3000808|MexI,31.65,lt_40,antibiotic efflux,antibiotic efflux,1
gb|BAB56495.1|ARO:3000746|mepR,gb|AIM47095.1|ARO:3001589|OXA-403,32.051,lt_40,antibiotic efflux,antibiotic inactivation,0
gb|AAL14440.1|ARO:3000775|adeB,gb|AAG07594.1|ARO:3000808|MexI,30.136,lt_40,antibiotic efflux,antibiotic efflux,1
