query_id,label
gb|NP_253005.1|ARO:3004069|MvaT,antibiotic efflux
gb|WP_001985623.1|ARO:3004578|Abau_AbuO,antibiotic efflux
gb|VWQ04090.1|ARO:3005042|mlaD,antibiotic efflux
gb|VWQ04088.1|ARO:3005041|mlaF,antibiotic efflux
gb|AAL19308.1|ARO:3000504|golS,antibiotic efflux
gb|BAE78082.1|ARO:3003550|mdtP,antibiotic efflux
gb|BAE77778.1|ARO:3000508|gadX,antibiotic efflux
gb|AAC76539.1|ARO:3000796|mdtF,antibiotic efflux
gb|BAB38260.1|ARO:3000830|cpxA,antibiotic efflux
gb|CAJ77856.1|ARO:3000777|adeF,antibiotic efflux
gb|BAB41874.1|ARO:3000815|mgrA,antibiotic efflux
gb|ACD35503.1|ARO:3000572|tet(42),antibiotic efflux
gb|AEM62948.1|ARO:3003196|tet(45),antibiotic efflux
gb|AAA71915.1|ARO:3000173|tet(E),antibiotic efflux
gb|CAA42594.1|ARO:3002690|Sliv_cmlR,antibiotic efflux
gb|ABD30512.1|ARO:3000839|arlS,antibiotic efflux
gb|ADM92606.1|ARO:3000549|adeS,antibiotic efflux
gb|AAL20862.1|ARO:3000826|sdiA,antibiotic efflux
gb|AAM77075.1|ARO:3002695|cmlA5,antibiotic efflux
gb|CAC14594.1|ARO:3003055|smeD,antibiotic efflux
gb|AAG05883.1|ARO:3000805|OprN,antibiotic efflux
gb|CAA78046.1|ARO:3002701|Rfas_cmr,antibiotic efflux
gb|BAA34299.1|ARO:3003034|mexX,antibiotic efflux
gb|ALX99516.1|ARO:3003811|adeC,antibiotic efflux
gb|AAD51347.1|ARO:3003067|smeS,antibiotic efflux
gb|AAA99504.1|ARO:3002987|bcrA,antibiotic efflux
gb|CAB13167.1|ARO:3003064|ykkD,antibiotic efflux
gb|BAJ09383.1|ARO:3003046|qacA,antibiotic efflux
gb|AAC74149.2|ARO:3001216|mdtH,antibiotic efflux
gb|AAU95768.1|ARO:3000026|mepA,antibiotic efflux
gb|AAC75135.2|ARO:3000792|mdtA,antibiotic efflux
gb|AAL19306.1|ARO:3000789|mdsA,antibiotic efflux
gb|CAA64891.1|ARO:3000812|mtrE,antibiotic efflux
gb|ADM92605.1|ARO:3000553|adeR,antibiotic efflux
gb|CAH35802.1|ARO:3002983|amrB,antibiotic efflux
gb|AAG03814.1|ARO:3000377|MexA,antibiotic efflux
gb|BAC67143.1|ARO:3000166|tet(B),antibiotic efflux
gb|AAC72341.1|ARO:3000182|tet(Y),antibiotic efflux
gb|AAD22144.1|ARO:3002698|cmlB,antibiotic efflux
gb|AAV85982.1|ARO:3000535|macB,antibiotic efflux
gb|AAG07595.1|ARO:3000809|OpmD,antibiotic efflux
gb|AAC60780.1|ARO:3003049|rosB,antibiotic efflux
gb|AAA20116.1|ARO:3000180|tetA(P),antibiotic efflux
gb|BAA11237.1|ARO:3000254|emrY,antibiotic efflux
gb|CAJ77855.1|ARO:3000779|adeH,antibiotic efflux
gb|AAQ10694.1|ARO:3003047|qacB,antibiotic efflux
gb|KIX81495.1|ARO:3002813|lmrB,antibiotic efflux
