db_id,label
gb|AAG07594.1|ARO:3000808|MexI,antibiotic efflux
gb|AAC75271.1|ARO:3003952|YojI,antibiotic efflux
gb|APB03215.1|ARO:3003981|tetB(58),antibiotic efflux
gb|AAK37618.1|ARO:3005008|TxR,antibiotic efflux
gb|AAB64408.1|ARO:3007050|mreA,antibiotic efflux
gb|QQA64076.1|ARO:3007049|mef(J),antibiotic efflux
gb|QQM99829.1|ARO:3007047|mef(H),antibiotic efflux
gb|CYF42523.1|ARO:3004047|kdpD,antibiotic efflux
gb|VWQ00850.1|ARO:3003843|leuO,antibiotic efflux
gb|QIQ10744.1|ARO:3007492|tet(62),antibiotic efflux
gb|QJR33972.1|ARO:3007493|tet(63),antibiotic efflux
gb|WP_124470450.1|ARO:3007494|tet(64),antibiotic efflux
gb|NP_706356.2|ARO:3007509|Sfle_acrA,antibiotic efflux
gb|BAL43360.1|ARO:3003745|mef(C),antibiotic efflux
gb|AAK99775.1|ARO:3000614|mef(E),antibiotic efflux
gb|QNR09091.1|ARO:3007044|mef(F),antibiotic efflux
gb|NP_217372.1|ARO:3007659|Rv2856,antibiotic efflux
gb|NP_216393.1|ARO:3007662|Rv1877,antibiotic efflux
gb|AMD83542.1|ARO:3007669|aadT,antibiotic efflux
gb|WPF67354.1|ARO:3007838|tet(65),antibiotic efflux
gb|CAB46491.1|ARO:3001815|ACC-1,antibiotic inactivation
gb|AAM15527.1|ARO:3000947|TEM-80,antibiotic inactivation
gb|AEZ49855.1|ARO:3002081|CMY-68,antibiotic inactivation
gb|AHA80960.1|ARO:3001388|TEM-211,antibiotic inactivation
gb|AAD03492.1|ARO:3002564|AAC(6')-It,antibiotic inactivation
gb|AAC32890.1|ARO:3001868|CTX-M-5,antibiotic inactivation
gb|AEX59144.1|ARO:3002347|GES-18,antibiotic inactivation
gb|AAP40270.1|ARO:3001671|OXA-49,antibiotic inactivation
gb|CAA52372.1|ARO:3002656|APH(4)-Ib,antibiotic inactivation
gb|ABG72894.1|ARO:3002621|aadA24,antibiotic inactivation
gb|CAP12346.2|ARO:3002465|LEN-18,antibiotic inactivation
gb|AAN04882.1|ARO:3001098|SHV-40,antibiotic inactivation
gb|AAK15582.1|ARO:3001428|OXA-34,antibiotic inactivation
gb|ACQ99521.1|ARO:3001950|CTX-M-90,antibiotic inactivation
gb|AGU69255.1|ARO:3001688|OXA-317,antibiotic inactivation
gb|ABR18736.1|ARO:3002042|CMY-31,antibiotic inactivation
gb|AAY85632.1|ARO:3001006|TEM-143,antibiotic inactivation
gb|AGW83451.1|ARO:3001540|OXA-353,antibiotic inactivation
